package,version,license,level
"coq","8.12.2","https://spdx.org/licenses/LGPL-2.1-only.html","base"
"coqide","8.12.2","https://spdx.org/licenses/LGPL-2.1-only.html","ide"
"coq-aac-tactics","8.12.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-bignums","8.12.0","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coquelicot","3.1.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-elpi","1.5.1","https://spdx.org/licenses/LGPL-2.1-or-later.html","full"
"coq-equations","1.2.3+8.12","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-ext-lib","0.11.2","BSD","full"
"coq-flocq","3.3.1","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-gappa","1.4.4","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-hierarchy-builder","0.10.0","https://spdx.org/licenses/MIT.html","full"
"coq-interval","4.0.0","https://spdx.org/licenses/CECILL-C.html","full"
"coq-mathcomp-algebra","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-bigenough","1.0.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-character","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-field","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-fingroup","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-finmap","1.5.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-real-closed","1.1.1","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-solvable","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-ssreflect","1.11.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-menhirlib","20200624","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-mtac2","1.3+8.12","https://spdx.org/licenses/MIT.html","full"
"coq-quickchick","1.4.0","https://spdx.org/licenses/MIT.html","full"
"coq-simple-io","1.4.0","https://spdx.org/licenses/MIT.html","full"
"coq-unicoq","1.5+8.12","https://spdx.org/licenses/MIT.html","full"
"gappa","1.3.5","CECILL","full"
"menhir","20200624","unknown","full"
"coq-compcert","3.7+8.12~coq_platform","INRIA Non-Commercial License Agreement","optional"
"coq-vst","2.6","https://raw.githubusercontent.com/PrincetonUniversity/VST/master/LICENSE","optional"
"base-bigarray","base","unknown","dependency"
"base-threads","base","unknown","dependency"
"base-unix","base","unknown","dependency"
"base","v0.15.1","https://spdx.org/licenses/MIT.html","dependency"
"cairo2","0.6.4","https://spdx.org/licenses/LGPL-3.0.html","dependency"
"camlp5","7.14","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"conf-adwaita-icon-theme","2","https://spdx.org/licenses/LGPL-3.0-only.html,https://spdx.org/licenses/CC-BY-SA-3.0.html","dependency"
"conf-autoconf","0.1","https://spdx.org/licenses/GPL-3.0-only.html","dependency"
"conf-automake","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-bison","2","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-boost","1","https://spdx.org/licenses/MIT.html","dependency"
"conf-cairo","1","https://spdx.org/licenses/LGPL-2.1-only.html,https://spdx.org/licenses/MPL-1.1.html","dependency"
"conf-findutils","1","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-flex","2","https://github.com/westes/flex/blob/master/COPYING","dependency"
"conf-g++","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-gmp","4","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-gtk3","18","unknown","dependency"
"conf-gtksourceview3","0+2","https://spdx.org/licenses/LGPL-2.1-or-later.html","dependency"
"conf-libjpeg","1","BSD-like","dependency"
"conf-mpfr","3","https://spdx.org/licenses/LGPL-2.0-or-later.html","dependency"
"conf-perl","2","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-pkg-config","3","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-which","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"cppo","1.6.9","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"csexp","1.5.2","https://spdx.org/licenses/MIT.html","dependency"
"dune-configurator","3.12.1","https://spdx.org/licenses/MIT.html","dependency"
"dune","3.12.1","https://spdx.org/licenses/MIT.html","dependency"
"elpi","1.11.4-1","https://spdx.org/licenses/LGPL-2.1-or-later.html","dependency"
"lablgtk3-sourceview3","3.1.1","LGPL with linking exception","dependency"
"lablgtk3","3.1.1","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"menhirLib","20200624","unknown","dependency"
"menhirSdk","20200624","unknown","dependency"
"num","1.5","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"ocaml-base-compiler","4.10.2","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocaml-compiler-libs","v0.12.4","https://spdx.org/licenses/MIT.html","dependency"
"ocaml-config","1","unknown","dependency"
"ocaml-migrate-parsetree","1.8.0","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"ocaml","4.10.2","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocamlbuild","0.14.3","LGPL-2.0-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocamlfind","1.9.6","https://spdx.org/licenses/MIT.html","dependency"
"ppx_derivers","1.2.1","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"ppx_deriving","5.1","https://spdx.org/licenses/MIT.html","dependency"
"ppxlib","0.14.0","https://spdx.org/licenses/MIT.html","dependency"
"re","1.11.0","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"result","1.5","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"seq","base","unknown","dependency"
"sexplib0","v0.15.1","https://spdx.org/licenses/MIT.html","dependency"
"stdio","v0.15.0","https://spdx.org/licenses/MIT.html","dependency"
