package,version,license,level
"coq","dev","https://spdx.org/licenses/LGPL-2.1-only.html","base"
"coqide","dev","https://spdx.org/licenses/LGPL-2.1-only.html","ide"
"coq-aac-tactics","dev","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-bignums","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coqeal","dev","https://spdx.org/licenses/MIT.html","full"
"coq-coqprime-generator","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coqprime","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coquelicot","dev","LGPL 3","full"
"coq-corn","dev","GPL 2","full"
"coq-dpdgraph","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-elpi","dev","https://spdx.org/licenses/LGPL-2.1-or-later.html","full"
"coq-equations","dev","https://spdx.org/licenses/LGPL-2.1-or-later.html","full"
"coq-ext-lib","dev","https://spdx.org/licenses/BSD-2-Clause-FreeBSD.html","full"
"coq-flocq","3.dev","LGPL 3","full"
"coq-gappa","dev","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-hammer-tactics","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-hammer","dev","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-hierarchy-builder","dev","https://spdx.org/licenses/MIT.html","full"
"coq-hott","dev","https://spdx.org/licenses/BSD-2-Clause.html","full"
"coq-interval","dev","https://spdx.org/licenses/CECILL-C.html","full"
"coq-iris-heap-lang","dev","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-iris","dev","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-libhyps","dev","https://spdx.org/licenses/MIT.html","full"
"coq-math-classes","dev","Public Domain","full"
"coq-mathcomp-algebra","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-analysis","dev","https://spdx.org/licenses/CECILL-C.html","full"
"coq-mathcomp-bigenough","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-character","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-field","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-fingroup","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-finmap","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-multinomials","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-real-closed","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-solvable","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-ssreflect","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-zify","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-menhirlib","dev","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-mtac2","dev","https://spdx.org/licenses/MIT.html","full"
"coq-paramcoq","dev","https://spdx.org/licenses/MIT.html","full"
"coq-quickchick","dev","https://spdx.org/licenses/MIT.html","full"
"coq-reglang","dev","https://spdx.org/licenses/CECILL-B.html","full"
"coq-simple-io","dev","https://spdx.org/licenses/MIT.html","full"
"coq-stdpp","dev","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-unicoq","dev","https://spdx.org/licenses/MIT.html","full"
"coq-unimath","dev","Kind of MIT","full"
"eprover","2.6","https://spdx.org/licenses/LGPL-2.1-or-later.html,https://spdx.org/licenses/GPL-2.0-or-later.html","full"
"menhir","dev","unknown","full"
"ppxlib","0.15.0","https://spdx.org/licenses/MIT.html","full"
"z3_tptp","4.8.13","https://spdx.org/licenses/MIT.html","full"
"coq-compcert","dev","INRIA Non-Commercial License Agreement","optional"
