Category,Theme,Error,Count
Runtime,AssertionError,AssertionError,22473
Runtime,TimeoutOrInfiniteRecursion,Timeout,4470
Runtime,NullReference,NullReferenceException,1201
Runtime,InvalidDataStructureOperation,ArgumentOutOfRangeException,632
Runtime,InvalidDataStructureOperation,InvalidOperationException,93
Runtime,InvalidDataStructureOperation,IndexOutOfRangeException,82
Runtime,InvalidDataStructureOperation,KeyNotFoundException,4
Static,UndefinedIdentifier,UndefinedIdentifier,1577
Static,MissingReturn,MissingReturn,155
Static,UndefinedIdentifier,MethodNotFound,40
Static,UndefinedIdentifier,TypeNotFound,15
Static,ArityMismatch,InvalidArgument,11
Static,ReDeclaration,ReDeclaration,2
Type,InvalidTypeConversion,TypeConversion,409
Language,Miscellaneous,FormatException,77
Language,LanguageSpecific,InvalidAssignment,13
Language,Miscellaneous,ArgumentException,1
Model,OutOfTokens,SyntaxError,319
Model,ExceptionInGeneratedCode,NotImplementedException,5
Model,ExceptionInGeneratedCode,InvalidBeat,1
