code,description,count,gold,example
IndexError,List index out of range,460,,
NameError,The name is not defined,2942,,
TypeError,Type of objects in an operation is inappropriate,123,,
ValueError,A function received an argument of the correct type but an inappropriate value,333,,
NotImplementedError,Raised by Codex generated code,253,,
IndentationError,Indentation of a line is wrong,32,,
KeyError,Request key is not present in dictionary,2,,
UnboundLocalError,A local variable is referenced before assignment,1,,
AttributeError,Requested attribute is not present in the object,5,,
RecursionError,Maximum recursion depth exceeded,86,,
ZeroDivisionError,Division by zero,1,,
EOFError,EOF when reading a line,1,,
SyntaxError,"Invalid syntax due to un-matched closing brace, bracket, or colon ':'",219,,
