category ,theme,code,count
Runtime,AssertionFailed,AssertionError,17104
Runtime,TimeoutOrInfiniteRecursion,Timeout,4462
Runtime,InvalidDataStructureOperation,IndexError,460
Runtime,TimeoutOrInfiniteRecursion,RecursionError,86
Runtime,InvalidDataStructureOperation,AttributeError,5
Runtime,InvalidDataStructureOperation,KeyError,2
Runtime,DivisionByZero,ZeroDivisionError,1
Static,UndefinedIdentifier,NameError,2942
Static,UndefinedIdentifier,UnboundLocalError,1
Type,InvalidTypeConversion,TypeError,123
Language,Miscellaneous,ValueError,334
Language,Miscellaneous,IndentationError,32
Language,LanguageSpecific,EOFError,1
Model,OutOfTokens,SyntaxError,333
Model,ExceptionInGeneratedCode,NotImplementedError,253
