Category,Theme,Error,Count
Runtime,AssertionFailed,AssertionFail,10051
Runtime,InvalidDataStructureOperation,IndexOutOfRange,330
Runtime,TimeoutOrInfiniteRecursion,Timeout,275
Runtime,InvalidDataStructureOperation,InvalidRangeCreation,271
Runtime,NullReference,UnwrapNil,149
Runtime,InvalidDataStructureOperation,StringIndexOutOfBounds,99
Runtime,DivisionByZero,DivisionByZeroInRemainder,24
Runtime,InvalidDataStructureOperation,RemoveLastFromEmptyCollection,6
Runtime,InvalidDataStructureOperation,ArrayIndexOutOfRange,3
Runtime,InvalidDataStructureOperation,RemoveFirstFromEmptyCollection,1
Runtime,InvalidDataStructureOperation,NegativeArrayIndex,1
Static,UndefinedIdentifier,CanNotFindInScope,4259
Static,UndefinedIdentifier,NonExistentMethod,2582
Static,UndefinedIdentifier,InvalidSyntax,213
Static,UndefinedIdentifier,CallingNonFunctionType,103
Static,IncorrectAPIMethodCall,SubscriptStringWithInt,68
Static,UndefinedIdentifier,LinkerError,55
Static,IncorrectAPIMethodCall,StringsArentCharArrays,42
Static,UndefinedIdentifier,UseBeforeDecl,17
Static,IncorrectAPIMethodCall,StringIndices,12
Static,ReDeclaration,RedeclarationOfVariable,11
Type,InvalidTypeConversion,OtherLocation,556
Type,InvalidTypeConversion,ReturnTypeError,349
Type,InvalidTypeConversion,ArgumentTypeError,303
Type,InvalidTypeConversion,NumericsTypeError,261
Type,InvalidTypeConversion,CollectionAndInner,241
Type,InvalidTypeConversion,UnknownTypeErrorInCall,200
Type,InvalidTypeConversion,BinOpTypeError,182
Type,InvalidTypeConversion,BranchTypeMismatch,125
Type,InvalidTypeConversion,MiscTypeError,111
Type,InvalidTypeConversion,UnwrappedNonOptional,67
Type,InvalidTypeConversion,UseOfModWithFloat,63
Type,InvalidTypeConversion,ClosureResultTypeError,11
Type,InvalidTypeConversion,ShouldHaveUnwrappedOptional,10
Type,InvalidTypeConversion,PatternTypeError,10
Type,InvalidTypeConversion,AssignmentTypeError,10
Type,InvalidTypeConversion,WeirdSubscriptTypeError,10
Type,InvalidTypeConversion,SubscriptingTypeError,9
Language,LanguageSpecific,UseOfDeprecatedIdentifiers,176
Language,LanguageSpecific,MissingArgumentLabel,113
Language,LanguageSpecific,ImmutableViolation,62
Language,LanguageSpecific,ExtraArgument,38
Language,LanguageSpecific,IncorrectArgumentLabel,19
Language,LanguageSpecific,OverflowUnderflowTrap,9
Language,LanguageSpecific,ExtraneousArgumentLabel,5
Language,LanguageSpecific,NonExclusiveMutation,3
Model,OutOfTokens,RanOutOfTokens,95
Model,OutOfTokens,CompilerErrorCutoff,9
Model,OutOfTokens,MissingReturn,4
