category,theme,code,description,count,gold,examples
Type,InvalidDataStructureOperation,Exception-RemoveFirstFromEmptyCollection,Attempted to remove first element from empty collection.,1,"problem HumanEval_17_parse_music, completion 172",swift_error_examples/Exception-RemoveFirstFromEmptyCollection.swift
Runtime,InvalidDataStructureOperation,Exception-NegativeArrayIndex,Negative array index.,1,"problem HumanEval_10_make_palindrome, completion 193",swift_error_examples/Exception-NegativeArrayIndex.swift
Runtime,InvalidDataStructureOperation,CompileError-NonExclusiveMutation,"Attempted to simultaneously read and write, caught at type checking.",3,"problem HumanEval_33_sort_third, completion 105",swift_error_examples/CompileError-NonExclusiveMutation.swift
Language,LanguageSpecific,Exception-ArrayIndexOutOfRange,Array index out of range.,3,"problem HumanEval_37_sort_even, completion 50",swift_error_examples/Exception-ArrayIndexOutOfRange.swift
Model,OutOfTokens,CompileError-MissingReturn,A return statement is missing.,4,"problem HumanEval_83_starts_one_ends, completion 171",swift_error_examples/CompileError-MissingReturn.swift
Language,LanguageSpecific,CompileError-ExtraneousArgumentLabel,An unnecessary argument label(s) is in a function call (possibly caused due to breaking changes in the version of Swift).,5,"problem HumanEval_5_intersperse, completion 1",swift_error_examples/CompileError-ExtraneousArgumentLabel.swift
Runtime,InvalidDataStructureOperation,Exception-RemoveLastFromEmptyCollection,Attempted to remove last element from empty collection.,6,"problem HumanEval_5_intersperse, completion 132",swift_error_examples/Exception-RemoveLastFromEmptyCollection.swift
Model,OutOfTokens,CompileError-CompilerErrorCutoff,Seems like the compiler crashed or for some reason its output got cutoff,9,N/A,swift_error_examples/CompileError-CompilerErrorCutoff.swift
Language,LanguageSpecific,CompileError-TypeCheck-SubscriptingTypeError,Subscripting has a type error.,9,"problem HumanEval_10_make_palindrome, completion 77",swift_error_examples/CompileError-TypeCheck-SubscriptingTypeError.swift
Type,InvalidTypeConversion,Exception-OverflowUnderflowTrap,A Int / UInt overflow / underflow occurred. Note: there isnt anything in the error messages that indicates this but I verified for all 9 cases manually.,9,"problem HumanEval_76_is_simple_power, completion 40",swift_error_examples/Exception-OverflowUnderflowTrap.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-ShouldHaveUnwrappedOptional,A value with Optional type should have been unwrapped / checked.,10,"problem HumanEval_33_sort_third, completion 92",swift_error_examples/CompileError-TypeCheck-ShouldHaveUnwrappedOptional.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-PatternTypeError,The expression in a switch statement has different type from the match pattern (or an if pattern).,10,"problem HumanEval_17_parse_music, completion 95",swift_error_examples/CompileError-TypeCheck-PatternTypeError.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-AssignmentTypeError,Assignment has a type error.,10,"problem HumanEval_140_fix_spaces, completion 143",swift_error_examples/CompileError-TypeCheck-AssignmentTypeError.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-WeirdSubscriptTypeError,Some type error with subscripts. Dont quite understand whats wrong.,10,"problem HumanEval_33_sort_third, completion 1",swift_error_examples/CompileError-TypeCheck-WeirdSubscriptTypeError.swift
Type,InvalidTypeConversion,CompileError-RedeclarationOfVariable,A variable was re-declared.,11,"problem HumanEval_154_cycpattern_check, completion 126",swift_error_examples/CompileError-RedeclarationOfVariable.swift
Static,ReDeclaration,CompileError-TypeCheck-ClosureResultTypeError,The type of the return value in a closure does not match the (likely inferred) return type of the closure.,11,"problem HumanEval_161_solve, completion 137",swift_error_examples/CompileError-TypeCheck-ClosureResultTypeError.swift
Static,IncorrectAPIMethodCall,CompileError-TypeMismatch-StringIndices,Type mismatch with string index problems.,12,"problem HumanEval_89_encrypt, completion 84",swift_error_examples/CompileError-TypeMismatch-StringIndices.swift
Static,UndefinedIdentifier,CompileError-UseBeforeDecl,A local variable is used before its declaration.,17,"problem HumanEval_99_closest_integer, completion 142",swift_error_examples/CompileError-UseBeforeDecl.swift
Language,LanguageSpecific,CompileError-IncorrectArgumentLabel,An incorrect argument label is in a function call (possibly caused due to breaking changes in the version of Swift).,19,"problem HumanEval_93_encode, completion 161",swift_error_examples/CompileError-IncorrectArgumentLabel.swift
Runtime,DivisionByZero,Exception-DivisionByZeroInRemainder,Division by zero when calculating remainder (mod).,24,"problem HumanEval_49_modp, completion 100",swift_error_examples/Exception-DivisionByZeroInRemainder.swift
Language,LanguageSpecific,CompileError-ExtraArgument,An extra argument(s) is in a function call.,38,"problem HumanEval_18_how_many_times, completion 131",swift_error_examples/CompileError-ExtraArgument.swift
Static,IncorrectAPIMethodCall,CompileError-TypeMismatch-StringsArentCharArrays,A string is not an array of characters.,42,"problem HumanEval_161_solve, completion 3",swift_error_examples/CompileError-TypeMismatch-StringsArentCharArrays.swift
Static,UndefinedIdentifier,CompileError-LinkerError,A weird linker error. **Could be caused by translation or evaluation bug?**,55,"problem HumanEval_99_closest_integer, completion 171",swift_error_examples/CompileError-LinkerError.swift
Language,LanguageSpecific,CompileError-ImmutableViolation,Attempted to mutate something that is immutable (e.g. let vs. var).,62,"problem HumanEval_59_largest_prime_factor, completion 144",swift_error_examples/CompileError-ImmutableViolation.swift
Type,InvalidTypeConversion,CompileError-UseOfModWithFloat,The completion uses % on a float / double.,63,"problem HumanEval_151_double_the_difference, completion 92",swift_error_examples/CompileError-UseOfModWithFloat.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-UnwrappedNonOptional,A non-optional value was unwrapped.,67,"problem HumanEval_89_encrypt, completion 103",swift_error_examples/CompileError-TypeCheck-UnwrappedNonOptional.swift
Static,IncorrectAPIMethodCall,CompileError-SubscriptStringWithInt,Swift does not allow you to subscript a string using an Int.,68,"problem HumanEval_119_match_parens, completion 53",swift_error_examples/CompileError-SubscriptStringWithInt.swift
Model,OutOfTokens,CompileError-RanOutOfTokens,"Ran out of tokens. This category may only be an approximation, hard to tell in general.",95,N/A,swift_error_examples/CompileError-RanOutOfTokens.swift
Runtime,InvalidDataStructureOperation,Exception-StringIndexOutOfBounds,String index out of bounds.,99,"problem HumanEval_134_check_if_last_char_is_a_letter, completion 50",swift_error_examples/Exception-StringIndexOutOfBounds.swift
Static,UndefinedIdentifier,CompileError-TypeCheck-CallingNonFunctionType,The code calls a non-function type.,103,"problem HumanEval_9_rolling_max, completion 180",swift_error_examples/CompileError-TypeCheck-CallingNonFunctionType.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-MiscTypeError,misc type error,111,N/A,swift_error_examples/CompileError-TypeCheck-MiscTypeError.swift
Language,LanguageSpecific,CompileError-MissingArgumentLabel,An argument label is missing in a function call.,113,"problem HumanEval_83_starts_one_ends, completion 146",swift_error_examples/CompileError-MissingArgumentLabel.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-BranchTypeMismatch,The types of 2 branches do not match.,125,"problem HumanEval_66_digitSum, completion 26",swift_error_examples/CompileError-TypeCheck-BranchTypeMismatch.swift
Runtime,NullReference,Exception-UnwrapNil,Nil was unwrapped.,149,"problem HumanEval_67_fruit_distribution, completion 119",swift_error_examples/Exception-UnwrapNil.swift
Language,LanguageSpecific,CompileError-UseOfDeprecatedUnavailableThings,The completion uses a function / method that existed in an old version of Swift.,176,"problem HumanEval_111_histogram, completion 19",swift_error_examples/CompileError-UseOfDeprecatedUnavailableThings.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-BinOpTypeError,Type error when using a binary operator.,182,"problem HumanEval_99_closest_integer, completion 38",swift_error_examples/CompileError-TypeCheck-BinOpTypeError.swift
