category,theme,code,count
Runtime,AssertionFailed,assertionError,10409
Runtime,TimeoutOrInfiniteRecursion,timeout,1044
Runtime,InvalidDataStructureOperation,stringIndexOutOfRange,448
Runtime,DivisionByZero,divisionBy0,376
Runtime,InvalidDataStructureOperation,letDuplicateIdentifier,2
Static,UndefinedIdentifier,unboundIdentifier,5814
Static,ArityMismatch,arityMismatch,570
Static,ReDeclaration,listIndexOutOfRange,281
Static,UndefinedIdentifier,applicationOnNotAFunction,184
Static,IncorrectAPIMethodCall,badBuiltInFnAppCall,69
Static,UndefinedIdentifier,useBeforeInit,12
Type,InvalidTypeConversion,contractViolation,4887
Type,InvalidTypeConversion,hashmapNoValueForKey,7
Language,NicheLanguage,missingOrUnmatchedBraces,2004
Language,LanguageSpecific,unknownEscapeSequence,216
Language,NicheLanguage,badSyntax,127
Language,NicheLanguage,missingElse,63
Language,NicheLanguage,ifExtraArgs,48
Language,Miscellaneous,badMatch,24
Language,NicheLanguage,unclassified,6
Language,LanguageSpecific,badCharConst,4
Language,NicheLanguage,elseAsExpression,2
Model,OutOfTokens,incompleteGeneration,2092
Model,GenerateAnotherLang,generatingWebpageOrMarkdown,608
Model,GenerateAnotherLang,defaultValueExpMissing,57
Model,ExceptionInGeneratedCode,errorByGeneratedProgram,34
