category,theme,code,description,count,gold,examples
Runtime,InvalidDataStructureOperation,IndexError,List index out of range,460, ---- HumanEval_89_encrypt --- completion 7,../error-examples/python/IndexError.py
Static,UndefinedIdentifier,NameError,The name is not defined,2942, ---- HumanEval_127_intersection --- completion 0 ,../error-examples/python/NameError.py
Type,InvalidTypeConversion,TypeError,Type of objects in an operation is inappropriate,123,---- HumanEval_137_compare_one --- completion 1 ----,../error-examples/python/TypeError.py
Language,Miscellaneous,ValueError,A function received an argument of the correct type but an inappropriate value,334,HumanEval_155_even_odd_count --- completion 0,../error-examples/python/ValueError.py
Model,ExceptionInGeneratedCode,NotImplementedError,Raised by Codex generated code,253,HumanEval_20_find_closest_elements --- completion 0,../error-examples/python/NotImplementedError.py
Language,Miscellaneous,IndentationError,Indentation of a line is wrong,32,HumanEval_129_minPath --- completion 27,../error-examples/python/IndentationError.py
Runtime,InvalidDataStructureOperation,KeyError,Request key is not present in dictionary,2,HumanEval_19_sort_numbers --- completion 29,../error-examples/python/KeyError.py
Static,UndefinedIdentifier,UnboundLocalError,A local variable is referenced before assignment,1,HumanEval_129_minPath --- completion 31,../error-examples/python/UnboundLocalError.py
Runtime,InvalidDataStructureOperation,AttributeError,Requested attribute is not present in the object,5,---- HumanEval_92_any_int --- completion 0 ----,../error-examples/python/AttributeError.py
Runtime,TimeoutOrInfiniteRecursion,RecursionError,Maximum recursion depth exceeded,86,HumanEval_138_is_equal_to_sum_even --- completion 1,../error-examples/python/RecursionError.py
Runtime,DivisionByZero,ZeroDivisionError,Division by zero,1,HumanEval_128_prod_signs --- completion 2,../error-examples/python/ZeroDivisionError.py
Language,LanguageSpecific,EOFError,EOF when reading a line,1,HumanEval_41_car_race_collision --- completion 1,../error-examples/python/EOFError.py
Model,OutOfTokens,SyntaxError,"Invalid syntax due to un-matched closing brace, bracket, or colon ':'",333, HumanEval_43_pairs_sum_to_zero --- completion 0,../error-examples/python/SyntaxError.py
Runtime,TimeoutOrInfiniteRecursion,Timeout,Program is running for more than 5 mins,4462,---- HumanEval_100_make_a_pile --- completion 106 ----,../error-examples/python/Timeout.py
Runtime,AssertionFailed,AssertionError,Assertion failed,17104,,../error-examples/python/AssertionError.py
