Python,py,array,list,tuple,dictionary,None,True,False
Bash,sh,array,Q,Q,CSV,None,true,false
C#,Q,list,list,tuple,dictionary,null,Q,Q
C++,cpp,vector,vector,tuple,map,None,true,false
D,d,array,array,tuple,associative array,,true,false
Go,go,list,list,Q,map,nil,true,false
Java,java,Q,Q,Q,Q,Q,Q,Q
JavaScript,js,array,array,array,object,undefined,true,false
Julia,jl,vector,vector,tuple,dictionary,nothing,true,false
Lua,lua,table,table,table,table,None,true,false
Perl,pl,array,array,array,hash,Q,1,
PHP,php,array,array,array,array,null,true,false
Python,py,array,list,tuple,dictionary,None,True,False
R ,r,vector,list,list,named list,NULL,TRUE,FALSE
Racket,rkt,list,list,list,hash,#f,#t,#f
Ruby,rb,array,array,array,hash,nil,true,false
Rust,rs,vector,vector,tuple,HashMap,None,true,false
Scala,Q,Q,Q,Q,Q,Q,Q,Q
Swift,swift,array,array,tuple,Q,Q,true,false
TypeScript,ts,array,array,array,object,undefined,true,false
