PROB,Original,List,Array,Bool,Dictionary,Tuple,Notes
HumanEval_0,list,1,0,0,0,0,
HumanEval_1,list,1,0,0,0,0,
HumanEval_10,X,0,0,0,0,0,
HumanEval_100,X,0,0,0,0,0,
HumanEval_101,array,0,1,0,0,0,
HumanEval_102,X,0,0,0,0,0,
HumanEval_103,X,0,0,0,0,0,
HumanEval_104,list,1,0,0,0,0,
HumanEval_105,array,0,1,0,0,0,
HumanEval_106,list,1,0,0,0,0,
HumanEval_107,tuple,0,0,0,0,1,
HumanEval_108,array,0,1,0,0,0,
HumanEval_109,"array, bools, list",1,1,1,0,0,
HumanEval_11,X,0,0,0,0,0,
HumanEval_110,list,1,0,0,0,0,
HumanEval_111,dictionary,0,0,0,1,0,
HumanEval_112,tuple,0,0,0,0,1,
HumanEval_113,list,1,0,0,0,0,
HumanEval_114,array,0,1,0,0,0,
HumanEval_115,X,0,0,0,0,0,
HumanEval_116,array,0,1,0,0,0,
HumanEval_117,list,1,0,0,0,0,
HumanEval_118,X,0,0,0,0,0,
HumanEval_119,list,1,0,0,0,0,
HumanEval_12,"list, None",1,0,0,0,0,
HumanEval_120,"array, list",1,1,0,0,0,
HumanEval_121,list,1,0,0,0,0,
HumanEval_122,array,0,1,0,0,0,
HumanEval_123,list,1,0,0,0,0,
HumanEval_124,bool,0,0,1,0,0,
HumanEval_125,list,1,0,0,0,0,
HumanEval_126,"list, bool",1,0,1,0,0,
HumanEval_127,X,0,0,0,0,0,has tuple expression in nl
HumanEval_128,"array, None",0,1,0,0,0,
HumanEval_129,list,1,0,0,0,0,use Python index notation
HumanEval_13,X,0,0,0,0,0,
HumanEval_130,X,0,0,0,0,0,
HumanEval_131,X,0,0,0,0,0,
HumanEval_132,bool,0,0,1,0,0,
HumanEval_133,list,1,0,0,0,0,has function call in it
HumanEval_134,bool,0,0,1,0,0,
HumanEval_135,array,0,1,0,0,0,
HumanEval_136,"none, tuple",0,0,0,0,1,has tuple expression in nl
HumanEval_137,None,0,0,0,0,0,
HumanEval_138,X,0,0,0,0,0,
HumanEval_139,X,0,0,0,0,0,
HumanEval_14,list,1,0,0,0,0,
HumanEval_140,X,0,0,0,0,0,
HumanEval_141,X,0,0,0,0,0,
HumanEval_142,list,1,0,0,0,0,
HumanEval_143,X,0,0,0,0,0,
HumanEval_144,bool,0,0,1,0,0,
HumanEval_145,list,1,0,0,0,0,
HumanEval_146,array,0,1,0,0,0,
HumanEval_147,array,0,1,0,0,0,
HumanEval_148,tuple,0,0,0,0,1,
HumanEval_149,"list, array",1,1,0,0,0,
HumanEval_15,bool,0,0,1,0,0,
HumanEval_15,X,0,0,0,0,0,
HumanEval_150,X,0,0,0,0,0,
HumanEval_151,list,1,0,0,0,0,
HumanEval_152,array,0,1,0,0,0,
HumanEval_153,list,1,0,0,0,0,
HumanEval_155,tuple,0,0,0,0,1,
HumanEval_156,X,0,0,0,0,0,
HumanEval_157,X,0,0,0,0,0,
HumanEval_158,list,1,0,0,0,0,
HumanEval_159,array,0,1,0,0,0,gives weird variable list
HumanEval_16,X,0,0,0,0,0,
HumanEval_160,list,1,0,0,0,0,
HumanEval_161,X,0,0,0,0,0,
HumanEval_162,None,0,0,0,0,0,
HumanEval_163,X,0,0,0,0,0,
HumanEval_17,list,1,0,0,0,0,
HumanEval_18,X,0,0,0,0,0,
HumanEval_19,X,0,0,0,0,0,
HumanEval_2,X,0,0,0,0,0,also uses integer in a mathmematical sense
HumanEval_20,list,1,0,0,0,0,has tuple expression in nl
HumanEval_21,list,1,0,0,0,0,
HumanEval_22,list,1,0,0,0,0,this example means we can't translate integer-- it is used in the mathematical sense
HumanEval_23,X,0,0,0,0,0,
HumanEval_24,X,0,0,0,0,0,
HumanEval_25,list,1,0,0,0,0,
