PROB,List,Bool,Dictionary,Tuple
HumanEval_0,1,1,0,0
HumanEval_100,1,0,0,0
HumanEval_101,1,0,0,0
HumanEval_102,0,0,0,0
HumanEval_103,0,0,0,0
HumanEval_104,1,0,0,0
HumanEval_105,1,0,0,0
HumanEval_106,1,0,0,0
HumanEval_107,0,0,0,1
HumanEval_108,1,0,0,0
HumanEval_109,1,1,0,0
HumanEval_10,0,0,0,0
HumanEval_110,1,0,0,0
HumanEval_111,0,0,1,0
HumanEval_112,0,1,0,1
HumanEval_113,1,0,0,0
HumanEval_114,1,0,0,0
HumanEval_115,1,0,0,0
HumanEval_116,1,0,0,0
HumanEval_117,1,0,0,0
HumanEval_118,0,0,0,0
HumanEval_119,1,0,0,0
HumanEval_11,0,0,0,0
HumanEval_120,1,0,0,0
HumanEval_121,1,0,0,0
HumanEval_122,1,0,0,0
HumanEval_123,1,0,0,0
HumanEval_124,0,1,0,0
HumanEval_125,1,0,0,0
HumanEval_126,1,1,0,0
HumanEval_127,0,0,0,1
HumanEval_128,1,0,0,0
HumanEval_129,1,0,0,0
HumanEval_12,1,0,0,0
HumanEval_130,1,0,0,0
HumanEval_131,0,0,0,0
HumanEval_132,0,1,0,0
HumanEval_133,1,0,0,0
HumanEval_134,0,1,0,0
HumanEval_135,1,0,0,0
HumanEval_136,1,0,0,1
HumanEval_137,0,0,0,0
HumanEval_138,0,1,0,0
HumanEval_139,0,0,0,0
HumanEval_13,0,0,0,0
HumanEval_140,0,0,0,0
HumanEval_141,0,0,0,0
HumanEval_142,1,0,0,0
HumanEval_143,0,0,0,0
HumanEval_144,0,1,0,0
HumanEval_145,1,0,0,0
HumanEval_146,1,0,0,0
HumanEval_147,0,0,0,0
HumanEval_148,0,0,0,1
HumanEval_149,1,0,0,0
HumanEval_14,1,0,0,0
HumanEval_150,0,0,0,0
HumanEval_151,1,0,0,0
HumanEval_152,1,0,0,0
HumanEval_153,1,0,0,0
HumanEval_154,0,1,0,0
HumanEval_155,0,0,0,1
HumanEval_156,0,0,0,0
HumanEval_157,0,1,0,0
HumanEval_158,1,0,0,0
HumanEval_159,1,0,0,0
HumanEval_15,0,0,0,0
HumanEval_160,1,0,0,0
HumanEval_161,0,0,0,0
HumanEval_162,0,0,0,0
HumanEval_163,1,0,0,0
HumanEval_16,0,0,0,0
HumanEval_17,1,0,0,0
HumanEval_18,0,0,0,0
HumanEval_19,0,0,0,0
HumanEval_1,1,0,0,0
HumanEval_20,1,0,0,1
HumanEval_21,1,0,0,0
HumanEval_22,1,0,0,0
HumanEval_23,0,0,0,0
HumanEval_24,0,0,0,0
HumanEval_25,1,0,0,0
HumanEval_26,1,0,0,0
HumanEval_27,0,0,0,0
HumanEval_28,1,0,0,0
HumanEval_29,1,0,0,0
HumanEval_2,0,0,0,0
HumanEval_30,1,0,0,0
HumanEval_31,0,1,0,0
HumanEval_33,1,0,0,0
HumanEval_34,1,0,0,0
HumanEval_35,1,0,0,0
HumanEval_36,0,0,0,0
HumanEval_37,1,0,0,0
HumanEval_39,0,0,0,0
HumanEval_3,1,1,0,0
HumanEval_40,1,1,0,0
HumanEval_41,0,0,0,0
HumanEval_42,1,0,0,0
HumanEval_43,1,1,0,0
HumanEval_44,0,0,0,0
HumanEval_45,0,0,0,0
HumanEval_46,0,0,0,0
HumanEval_47,1,0,0,0
HumanEval_48,0,1,0,0
HumanEval_49,0,0,0,0
HumanEval_4,1,0,0,0
HumanEval_51,0,0,0,0
HumanEval_52,1,1,0,0
HumanEval_53,0,0,0,0
HumanEval_54,0,1,0,0
HumanEval_55,0,0,0,0
HumanEval_56,0,1,0,0
HumanEval_57,1,1,0,0
HumanEval_58,1,0,0,0
HumanEval_59,0,0,0,0
HumanEval_5,1,0,0,0
HumanEval_60,0,0,0,0
HumanEval_61,0,1,0,0
HumanEval_62,1,0,0,0
HumanEval_63,0,0,0,0
HumanEval_64,0,0,0,0
HumanEval_65,0,0,0,0
HumanEval_66,0,0,0,0
HumanEval_67,0,0,0,0
HumanEval_68,1,0,0,0
HumanEval_69,1,0,0,0
HumanEval_6,1,0,0,0
HumanEval_70,1,0,0,0
HumanEval_71,0,0,0,0
HumanEval_72,1,1,0,0
HumanEval_73,1,0,0,0
HumanEval_74,1,0,0,0
HumanEval_75,0,1,0,0
HumanEval_76,0,1,0,0
HumanEval_77,0,1,0,0
HumanEval_78,0,0,0,0
HumanEval_79,0,0,0,0
HumanEval_7,1,0,0,0
HumanEval_80,0,1,0,0
HumanEval_81,1,0,0,0
HumanEval_82,0,1,0,0
HumanEval_83,0,0,0,0
HumanEval_84,0,0,0,0
HumanEval_85,1,0,0,0
HumanEval_86,0,0,0,0
HumanEval_87,1,0,0,1
HumanEval_88,1,0,0,0
HumanEval_89,0,0,0,0
HumanEval_8,1,0,0,1
HumanEval_90,1,0,0,0
HumanEval_91,0,0,0,0
HumanEval_92,0,1,0,0
HumanEval_93,0,0,0,0
HumanEval_94,1,0,0,0
HumanEval_95,0,1,1,0
HumanEval_96,1,0,0,0
HumanEval_97,0,0,0,0
HumanEval_98,0,0,0,0
HumanEval_99,0,0,0,0
HumanEval_9,1,0,0,0
