PROB,List,Bool,Dictionary,Tuple
HumanEval_0_,1,1,0,0
HumanEval_100_,1,0,0,0
HumanEval_101_,1,0,0,0
HumanEval_102_,0,0,0,0
HumanEval_103_,0,0,0,0
HumanEval_104_,1,0,0,0
HumanEval_105_,1,0,0,0
HumanEval_106_,1,0,0,0
HumanEval_107_,0,0,0,1
HumanEval_108_,1,0,0,0
HumanEval_109_,1,1,0,0
HumanEval_10_,0,0,0,0
HumanEval_110_,1,0,0,0
HumanEval_111_,0,0,1,0
HumanEval_112_,0,1,0,1
HumanEval_113_,1,0,0,0
HumanEval_114_,1,0,0,0
HumanEval_115_,1,0,0,0
HumanEval_116_,1,0,0,0
HumanEval_117_,1,0,0,0
HumanEval_118_,0,0,0,0
HumanEval_119_,1,0,0,0
HumanEval_11_,0,0,0,0
HumanEval_120_,1,0,0,0
HumanEval_121_,1,0,0,0
HumanEval_122_,1,0,0,0
HumanEval_123_,1,0,0,0
HumanEval_124_,0,1,0,0
HumanEval_125_,1,0,0,0
HumanEval_126_,1,1,0,0
HumanEval_127_,0,0,0,1
HumanEval_128_,1,0,0,0
HumanEval_129_,1,0,0,0
HumanEval_12_,1,0,0,0
HumanEval_130_,1,0,0,0
HumanEval_131_,0,0,0,0
HumanEval_132_,0,1,0,0
HumanEval_133_,1,0,0,0
HumanEval_134_,0,1,0,0
HumanEval_135_,1,0,0,0
HumanEval_136_,1,0,0,1
HumanEval_137_,0,0,0,0
HumanEval_138_,0,1,0,0
HumanEval_139_,0,0,0,0
HumanEval_13_,0,0,0,0
HumanEval_140_,0,0,0,0
HumanEval_141_,0,0,0,0
HumanEval_142_,1,0,0,0
HumanEval_143_,0,0,0,0
HumanEval_144_,0,1,0,0
HumanEval_145_,1,0,0,0
HumanEval_146_,1,0,0,0
HumanEval_147_,0,0,0,0
HumanEval_148_,0,0,0,1
HumanEval_149_,1,0,0,0
HumanEval_14_,1,0,0,0
HumanEval_150_,0,0,0,0
HumanEval_151_,1,0,0,0
HumanEval_152_,1,0,0,0
HumanEval_153_,1,0,0,0
HumanEval_154_,0,1,0,0
HumanEval_155_,0,0,0,1
HumanEval_156_,0,0,0,0
HumanEval_157_,0,1,0,0
HumanEval_158_,1,0,0,0
HumanEval_159_,1,0,0,0
HumanEval_15_,0,0,0,0
HumanEval_160_,1,0,0,0
HumanEval_161_,0,0,0,0
HumanEval_162_,0,0,0,0
HumanEval_163_,1,0,0,0
HumanEval_16_,0,0,0,0
HumanEval_17_,1,0,0,0
HumanEval_18_,0,0,0,0
HumanEval_19_,0,0,0,0
HumanEval_1_,1,0,0,0
HumanEval_20_,1,0,0,1
HumanEval_21_,1,0,0,0
HumanEval_22_,1,0,0,0
HumanEval_23_,0,0,0,0
HumanEval_24_,0,0,0,0
HumanEval_25_,1,0,0,0
HumanEval_26_,1,0,0,0
HumanEval_27_,0,0,0,0
HumanEval_28_,1,0,0,0
HumanEval_29_,1,0,0,0
HumanEval_2_,0,0,0,0
HumanEval_30_,1,0,0,0
HumanEval_31_,0,1,0,0
HumanEval_33_,1,0,0,0
HumanEval_34_,1,0,0,0
HumanEval_35_,1,0,0,0
HumanEval_36_,0,0,0,0
HumanEval_37_,1,0,0,0
HumanEval_39_,0,0,0,0
HumanEval_3_,1,1,0,0
HumanEval_40_,1,1,0,0
HumanEval_41_,0,0,0,0
HumanEval_42_,1,0,0,0
HumanEval_43_,1,1,0,0
HumanEval_44_,0,0,0,0
HumanEval_45_,0,0,0,0
HumanEval_46_,0,0,0,0
HumanEval_47_,1,0,0,0
HumanEval_48_,0,1,0,0
HumanEval_49_,0,0,0,0
HumanEval_4_,1,0,0,0
HumanEval_51_,0,0,0,0
HumanEval_52_,1,1,0,0
HumanEval_53_,0,0,0,0
HumanEval_54_,0,1,0,0
HumanEval_55_,0,0,0,0
HumanEval_56_,0,1,0,0
HumanEval_57_,1,1,0,0
HumanEval_58_,1,0,0,0
HumanEval_59_,0,0,0,0
HumanEval_5_,1,0,0,0
HumanEval_60_,0,0,0,0
HumanEval_61_,0,1,0,0
HumanEval_62_,1,0,0,0
HumanEval_63_,0,0,0,0
HumanEval_64_,0,0,0,0
HumanEval_65_,0,0,0,0
HumanEval_66_,0,0,0,0
HumanEval_67_,0,0,0,0
HumanEval_68_,1,0,0,0
HumanEval_69_,1,0,0,0
HumanEval_6_,1,0,0,0
HumanEval_70_,1,0,0,0
HumanEval_71_,0,0,0,0
HumanEval_72_,1,1,0,0
HumanEval_73_,1,0,0,0
HumanEval_74_,1,0,0,0
HumanEval_75_,0,1,0,0
HumanEval_76_,0,1,0,0
HumanEval_77_,0,1,0,0
HumanEval_78_,0,0,0,0
HumanEval_79_,0,0,0,0
HumanEval_7_,1,0,0,0
HumanEval_80_,0,1,0,0
HumanEval_81_,1,0,0,0
HumanEval_82_,0,1,0,0
HumanEval_83_,0,0,0,0
HumanEval_84_,0,0,0,0
HumanEval_85_,1,0,0,0
HumanEval_86_,0,0,0,0
HumanEval_87_,1,0,0,1
HumanEval_88_,1,0,0,0
HumanEval_89_,0,0,0,0
HumanEval_8_,1,0,0,1
HumanEval_90_,1,0,0,0
HumanEval_91_,0,0,0,0
HumanEval_92_,0,1,0,0
HumanEval_93_,0,0,0,0
HumanEval_94_,1,0,0,0
HumanEval_95_,0,1,1,0
HumanEval_96_,1,0,0,0
HumanEval_97_,0,0,0,0
HumanEval_98_,0,0,0,0
HumanEval_99_,0,0,0,0
HumanEval_9_,1,0,0,0
