HumanEval_0_has_close_elements,2,90,108
HumanEval_100_make_a_pile,0,145,55
HumanEval_101_words_string,0,200,0
HumanEval_102_choose_num,0,85,115
HumanEval_103_rounded_avg,0,200,0
HumanEval_104_unique_digits,0,81,119
HumanEval_105_by_length,0,174,26
HumanEval_106_f,0,41,159
HumanEval_107_even_odd_palindrome,0,187,13
HumanEval_108_count_nums,0,66,134
HumanEval_109_move_one_ball,0,138,62
HumanEval_10_make_palindrome,0,198,2
HumanEval_110_exchange,0,119,81
HumanEval_111_histogram,0,200,0
HumanEval_112_reverse_delete,0,200,0
HumanEval_113_odd_count,0,200,0
HumanEval_114_minSubArraySum,0,0,200
HumanEval_115_max_fill,0,118,82
HumanEval_116_sort_array,0,119,81
HumanEval_117_select_words,0,186,14
HumanEval_118_get_closest_vowel,0,200,0
HumanEval_119_match_parens,0,52,148
HumanEval_11_string_xor,0,199,1
HumanEval_120_maximum,0,116,84
HumanEval_121_solution,0,7,193
HumanEval_122_add_elements,0,12,188
HumanEval_123_get_odd_collatz,0,125,75
HumanEval_124_valid_date,0,200,0
HumanEval_126_is_sorted,0,62,138
HumanEval_127_intersection,0,151,49
HumanEval_128_prod_signs,0,99,101
HumanEval_129_minPath,0,186,14
HumanEval_12_longest,191,0,9
HumanEval_130_tri,0,159,41
HumanEval_131_digits,0,182,18
HumanEval_132_is_nested,0,184,16
HumanEval_133_sum_squares,0,194,6
HumanEval_134_check_if_last_char_is_a_letter,0,196,4
HumanEval_135_can_arrange,0,19,181
HumanEval_136_largest_smallest_integers,0,169,31
HumanEval_137_compare_one,0,126,74
HumanEval_138_is_equal_to_sum_even,0,107,93
HumanEval_139_special_factorial,0,40,160
HumanEval_13_greatest_common_divisor,0,199,1
HumanEval_140_fix_spaces,0,192,8
HumanEval_141_file_name_check,0,200,0
HumanEval_142_sum_squares,0,0,200
HumanEval_143_words_in_sentence,0,179,21
HumanEval_144_simplify,0,63,137
HumanEval_145_order_by_points,0,62,138
HumanEval_146_specialFilter,0,18,182
HumanEval_147_get_max_triples,0,121,79
HumanEval_148_bf,0,118,82
HumanEval_149_sorted_list_sum,0,81,119
HumanEval_14_all_prefixes,16,179,5
HumanEval_150_x_or_y,0,168,32
HumanEval_151_double_the_difference,0,200,0
HumanEval_152_compare,97,63,40
HumanEval_153_Strongest_Extension,0,200,0
HumanEval_154_cycpattern_check,0,200,0
HumanEval_155_even_odd_count,0,193,7
HumanEval_156_int_to_mini_roman,0,197,3
HumanEval_157_right_angle_triangle,0,32,168
HumanEval_158_find_max,0,162,38
HumanEval_159_eat,0,154,46
HumanEval_15_string_sequence,0,150,50
HumanEval_160_do_algebra,0,200,0
HumanEval_161_solve,0,197,3
HumanEval_162_string_to_md5,0,200,0
HumanEval_163_generate_integers,0,102,98
HumanEval_16_count_distinct_characters,0,185,15
HumanEval_17_parse_music,0,199,1
HumanEval_18_how_many_times,0,200,0
HumanEval_19_sort_numbers,0,200,0
HumanEval_1_separate_paren_groups,0,200,0
HumanEval_20_find_closest_elements,0,143,57
HumanEval_21_rescale_to_unit,1,181,18
HumanEval_22_filter_integers,152,46,2
HumanEval_23_strlen,200,0,0
HumanEval_24_largest_divisor,1,69,130
HumanEval_25_factorize,5,186,9
HumanEval_26_remove_duplicates,0,121,79
HumanEval_27_flip_case,0,174,26
HumanEval_28_concatenate,198,0,2
HumanEval_29_filter_by_prefix,97,103,0
HumanEval_2_truncate_number,17,173,10
HumanEval_30_get_positive,35,0,165
HumanEval_31_is_prime,21,42,137
HumanEval_33_sort_third,0,156,44
HumanEval_34_unique,0,200,0
HumanEval_35_max_element,153,45,2
HumanEval_36_fizz_buzz,0,76,124
HumanEval_37_sort_even,0,125,75
HumanEval_39_prime_fib,0,155,45
HumanEval_3_below_zero,51,0,149
HumanEval_40_triples_sum_to_zero,2,47,151
HumanEval_41_car_race_collision,0,194,6
HumanEval_42_incr_list,179,16,5
HumanEval_43_pairs_sum_to_zero,0,87,113
HumanEval_44_change_base,1,183,16
HumanEval_45_triangle_area,1,185,14
HumanEval_46_fib4,0,174,26
HumanEval_47_median,0,171,29
HumanEval_48_is_palindrome,0,173,27
HumanEval_49_modp,0,179,21
HumanEval_4_mean_absolute_deviation,0,175,25
HumanEval_51_remove_vowels,10,187,3
HumanEval_52_below_threshold,1,126,73
HumanEval_53_add,200,0,0
HumanEval_54_same_chars,0,200,0
HumanEval_55_fib,3,182,15
HumanEval_56_correct_bracketing,0,200,0
HumanEval_57_monotonic,0,116,84
HumanEval_58_common,0,156,44
HumanEval_59_largest_prime_factor,0,122,78
HumanEval_5_intersperse,11,55,134
HumanEval_60_sum_to_n,0,193,7
HumanEval_61_correct_bracketing,0,200,0
HumanEval_62_derivative,0,23,177
HumanEval_63_fibfib,0,88,112
HumanEval_64_vowels_count,0,173,27
HumanEval_65_circular_shift,0,200,0
HumanEval_66_digitSum,0,197,3
HumanEval_67_fruit_distribution,0,199,1
HumanEval_68_pluck,0,17,183
HumanEval_69_search,0,28,172
HumanEval_6_parse_nested_parens,0,200,0
HumanEval_70_strange_sort_list,0,189,11
HumanEval_71_triangle_area,0,142,58
HumanEval_72_will_it_fly,0,110,90
HumanEval_73_smallest_change,0,109,91
HumanEval_74_total_match,0,56,144
HumanEval_75_is_multiply_prime,0,163,37
HumanEval_76_is_simple_power,0,190,10
HumanEval_77_iscube,0,28,172
HumanEval_78_hex_key,0,185,15
HumanEval_79_decimal_to_binary,0,95,105
HumanEval_7_filter_by_substring,22,174,4
