lua,incoder,0.8,keep,1,161,0.031987577639751553
rkt,incoder,0.2,keep,1,161,0.4653726708074535
rkt,incoder,0.8,keep,1,161,0.6650931677018632
php,incoder,0.2,keep,1,161,0.05701863354037268
php,incoder,0.8,keep,1,160,0.0415
cpp,incoder,0.2,keep,1,160,0.08284375000000001
cpp,incoder,0.8,keep,1,159,0.051069182389937115
js,incoder,0.2,keep,1,160,0.088375
js,incoder,0.8,keep,1,161,0.06167701863354038
d,incoder,0.2,keep,1,156,0.017852564102564108
lua,davinci,0.2,keep,1,161,0.3870807453416149
rb,davinci,0.2,keep,1,161,0.4190062111801242
rkt,davinci,0.2,keep,1,160,0.4229375
rkt,davinci,0.8,keep,1,161,0.5904968944099378
php,davinci,0.2,keep,1,161,0.4605590062111802
cpp,davinci,0.8,keep,1,159,0.3812893081761006
py,davinci,0.8,keep,1,161,0.4209316770186336
js,davinci,0.2,keep,1,160,0.48075
d,davinci,0.2,keep,1,156,0.23089743589743586
java,davinci,0.2,keep,1,161,0.39142857142857146
