lua,incoder,0.8,keep,keep,100,161,0.22946404967112896
php,incoder,0.2,keep,keep,100,161,0.25574763216414126
php,incoder,0.8,keep,keep,100,160,0.4469503016007767
cpp,incoder,0.2,keep,keep,100,160,0.23961266848849072
cpp,incoder,0.8,keep,keep,100,159,0.33055474670874047
js,incoder,0.2,keep,keep,100,160,0.32015002490869665
js,incoder,0.8,keep,keep,100,161,0.40653088375358787
d,incoder,0.2,keep,keep,100,156,0.11565131305271724
lua,davinci,0.2,keep,keep,100,161,0.7216804065012727
rb,davinci,0.2,keep,keep,100,161,0.753106787216763
php,davinci,0.2,keep,keep,100,161,0.8264400066295461
cpp,davinci,0.8,keep,keep,100,159,0.8275015059073663
py,davinci,0.8,keep,keep,100,161,0.9445106190511939
js,davinci,0.2,keep,keep,100,160,0.7827605967490615
d,davinci,0.2,keep,keep,100,156,0.48937900859742145
java,davinci,0.2,keep,keep,100,161,0.6904209701587065
