rb,incoder,0.2,keep,keep,NORESULTS
rb,incoder,0.2,remove,keep,SKIP
rb,incoder,0.8,keep,keep,NORESULTS
rb,incoder,0.8,remove,keep,SKIP
lua,incoder,0.2,keep,keep,NORESULTS
lua,incoder,0.2,remove,keep,SKIP
lua,incoder,0.8,keep,keep,DONE
lua,incoder,0.8,remove,keep,SKIP
rs,incoder,0.2,keep,keep,SKIP
rs,incoder,0.2,remove,keep,SKIP
rs,incoder,0.8,keep,keep,SKIP
rs,incoder,0.8,remove,keep,SKIP
rkt,incoder,0.2,keep,keep,SKIP
rkt,incoder,0.2,remove,keep,SKIP
rkt,incoder,0.8,keep,keep,SKIP
rkt,incoder,0.8,remove,keep,SKIP
php,incoder,0.2,keep,keep,DONE
php,incoder,0.2,remove,keep,SKIP
php,incoder,0.8,keep,keep,DONE
php,incoder,0.8,remove,keep,SKIP
cpp,incoder,0.2,keep,keep,DONE
cpp,incoder,0.2,remove,keep,SKIP
cpp,incoder,0.8,keep,keep,DONE
cpp,incoder,0.8,remove,keep,SKIP
py,incoder,0.2,keep,keep,SKIP
py,incoder,0.2,remove,keep,SKIP
py,incoder,0.8,keep,keep,SKIP
py,incoder,0.8,remove,keep,SKIP
jl,incoder,0.2,keep,keep,SKIP
jl,incoder,0.2,remove,keep,SKIP
jl,incoder,0.8,keep,keep,SKIP
jl,incoder,0.8,remove,keep,SKIP
js,incoder,0.2,keep,keep,DONE
js,incoder,0.2,remove,keep,SKIP
js,incoder,0.8,keep,keep,DONE
js,incoder,0.8,remove,keep,SKIP
java,incoder,0.2,keep,keep,NORESULTS
java,incoder,0.2,remove,keep,SKIP
java,incoder,0.8,keep,keep,SKIP
java,incoder,0.8,remove,keep,SKIP
cs,incoder,0.2,keep,keep,NOFILES
cs,incoder,0.2,remove,keep,NOFILES
cs,incoder,0.8,keep,keep,NOFILES
cs,incoder,0.8,remove,keep,NOFILES
d,incoder,0.2,keep,keep,DONE
d,incoder,0.2,remove,keep,NOFILES
d,incoder,0.8,keep,keep,NOFILES
d,incoder,0.8,remove,keep,NOFILES
pl,incoder,0.2,keep,keep,NORESULTS
pl,incoder,0.2,remove,keep,NOFILES
pl,incoder,0.8,keep,keep,NOFILES
pl,incoder,0.8,remove,keep,NOFILES
sh,incoder,0.2,keep,keep,NORESULTS
sh,incoder,0.2,remove,keep,NOFILES
sh,incoder,0.8,keep,keep,NOFILES
sh,incoder,0.8,remove,keep,NOFILES
ts,incoder,0.2,keep,keep,NORESULTS
ts,incoder,0.2,remove,keep,NOFILES
ts,incoder,0.8,keep,keep,NOFILES
ts,incoder,0.8,remove,keep,NOFILES
scala,incoder,0.2,keep,keep,NOFILES
scala,incoder,0.2,remove,keep,NOFILES
scala,incoder,0.8,keep,keep,NOFILES
scala,incoder,0.8,remove,keep,NOFILES
go,incoder,0.2,keep,keep,NOFILES
go,incoder,0.2,remove,keep,NOFILES
go,incoder,0.8,keep,keep,NOFILES
go,incoder,0.8,remove,keep,NOFILES
swift,incoder,0.2,keep,keep,NOFILES
swift,incoder,0.2,remove,keep,NOFILES
swift,incoder,0.8,keep,keep,NOFILES
swift,incoder,0.8,remove,keep,NOFILES
rb,davinci,0.2,keep,keep,DONE
rb,davinci,0.2,remove,keep,SKIP
rb,davinci,0.8,keep,keep,NORESULTS
rb,davinci,0.8,remove,keep,SKIP
lua,davinci,0.2,keep,keep,DONE
lua,davinci,0.2,remove,keep,SKIP
lua,davinci,0.8,keep,keep,SKIP
lua,davinci,0.8,remove,keep,SKIP
rs,davinci,0.2,keep,keep,SKIP
rs,davinci,0.2,remove,keep,SKIP
rs,davinci,0.8,keep,keep,SKIP
rs,davinci,0.8,remove,keep,SKIP
rkt,davinci,0.2,keep,keep,SKIP
rkt,davinci,0.2,remove,keep,SKIP
rkt,davinci,0.8,keep,keep,SKIP
rkt,davinci,0.8,remove,keep,SKIP
php,davinci,0.2,keep,keep,DONE
php,davinci,0.2,remove,keep,SKIP
php,davinci,0.8,keep,keep,SKIP
php,davinci,0.8,remove,keep,SKIP
cpp,davinci,0.2,keep,keep,SKIP
cpp,davinci,0.2,remove,keep,SKIP
cpp,davinci,0.8,keep,keep,DONE
cpp,davinci,0.8,remove,keep,SKIP
py,davinci,0.2,keep,keep,SKIP
py,davinci,0.2,remove,keep,SKIP
py,davinci,0.8,keep,keep,DONE
py,davinci,0.8,remove,keep,SKIP
jl,davinci,0.2,keep,keep,SKIP
jl,davinci,0.2,remove,keep,SKIP
jl,davinci,0.8,keep,keep,SKIP
jl,davinci,0.8,remove,keep,SKIP
js,davinci,0.2,keep,keep,DONE
js,davinci,0.2,remove,keep,SKIP
js,davinci,0.8,keep,keep,NORESULTS
js,davinci,0.8,remove,keep,SKIP
java,davinci,0.2,keep,keep,DONE
java,davinci,0.2,remove,keep,SKIP
java,davinci,0.8,keep,keep,SKIP
java,davinci,0.8,remove,keep,SKIP
cs,davinci,0.2,keep,keep,NOFILES
cs,davinci,0.2,remove,keep,NOFILES
cs,davinci,0.8,keep,keep,NOFILES
cs,davinci,0.8,remove,keep,NOFILES
d,davinci,0.2,keep,keep,DONE
d,davinci,0.2,remove,keep,NOFILES
d,davinci,0.8,keep,keep,NOFILES
d,davinci,0.8,remove,keep,NOFILES
pl,davinci,0.2,keep,keep,NORSULTS
pl,davinci,0.2,remove,keep,NOFILES
pl,davinci,0.8,keep,keep,NOFILES
pl,davinci,0.8,remove,keep,NOFILES
sh,davinci,0.2,keep,keep,NORESULTS
sh,davinci,0.2,remove,keep,NOFILES
sh,davinci,0.8,keep,keep,NOFILES
sh,davinci,0.8,remove,keep,NOFILES
ts,davinci,0.2,keep,keep,NOFILES
ts,davinci,0.2,remove,keep,NOFILES
ts,davinci,0.8,keep,keep,NOFILES
ts,davinci,0.8,remove,keep,NOFILES
scala,davinci,0.2,keep,keep,NOFILES
scala,davinci,0.2,remove,keep,NOFILES
scala,davinci,0.8,keep,keep,NOFILES
scala,davinci,0.8,remove,keep,NOFILES
go,davinci,0.2,keep,keep,NOFILES
go,davinci,0.2,remove,keep,NOFILES
go,davinci,0.8,keep,keep,NOFILES
go,davinci,0.8,remove,keep,NOFILES
swift,davinci,0.2,keep,keep,NOFILES
swift,davinci,0.2,remove,keep,NOFILES
swift,davinci,0.8,keep,keep,NOFILES
swift,davinci,0.8,remove,keep,NOFILES
