Benchmark,Stat
HumanEval_0_has_close_elements,0.155
HumanEval_100_make_a_pile,0.0
HumanEval_101_words_string,0.655
HumanEval_102_choose_num,0.28
HumanEval_103_rounded_avg,0.0
HumanEval_104_unique_digits,0.64
HumanEval_105_by_length,0.01
HumanEval_106_f,0.045
HumanEval_107_even_odd_palindrome,0.0
HumanEval_108_count_nums,0.045
HumanEval_109_move_one_ball,0.005
HumanEval_10_make_palindrome,0.0
HumanEval_110_exchange,0.205
HumanEval_111_histogram,0.575
HumanEval_112_reverse_delete,0.0
HumanEval_113_odd_count,0.385
HumanEval_114_minSubArraySum,0.99
HumanEval_115_max_fill,0.0
HumanEval_116_sort_array,0.0
HumanEval_117_select_words,0.22
HumanEval_118_get_closest_vowel,0.0
HumanEval_119_match_parens,0.04
HumanEval_11_string_xor,0.92
HumanEval_120_maximum,0.03
HumanEval_121_solution,0.0
HumanEval_122_add_elements,1.0
HumanEval_123_get_odd_collatz,0.0
HumanEval_124_valid_date,0.59
HumanEval_125_split_words,0.0
HumanEval_126_is_sorted,0.0
HumanEval_127_intersection,0.0
HumanEval_128_prod_signs,0.04
HumanEval_129_minPath,0.02
HumanEval_12_longest,1.0
HumanEval_130_tri,0.0
HumanEval_131_digits,0.0
HumanEval_132_is_nested,0.0
HumanEval_133_sum_squares,1.0
HumanEval_134_check_if_last_char_is_a_letter,0.005
HumanEval_135_can_arrange,0.035
HumanEval_136_largest_smallest_integers,0.0
HumanEval_137_compare_one,0.0
HumanEval_138_is_equal_to_sum_even,0.1
HumanEval_139_special_factorial,0.0
HumanEval_13_greatest_common_divisor,1.0
HumanEval_140_fix_spaces,0.0
HumanEval_141_file_name_check,0.06
HumanEval_142_sum_squares,0.0
HumanEval_143_words_in_sentence,0.41
HumanEval_144_simplify,0.07
HumanEval_145_order_by_points,0.0
HumanEval_146_specialFilter,0.03
HumanEval_147_get_max_triples,0.99
HumanEval_148_bf,0.43
HumanEval_149_sorted_list_sum,0.695
HumanEval_14_all_prefixes,1.0
HumanEval_150_x_or_y,0.03
HumanEval_151_double_the_difference,0.98
HumanEval_152_compare,1.0
HumanEval_153_Strongest_Extension,0.005
HumanEval_154_cycpattern_check,0.51
HumanEval_155_even_odd_count,0.0
HumanEval_156_int_to_mini_roman,0.695
HumanEval_157_right_angle_triangle,0.365
HumanEval_158_find_max,0.005
HumanEval_159_eat,0.06
HumanEval_15_string_sequence,0.58
HumanEval_160_do_algebra,0.0
HumanEval_161_solve,0.025
HumanEval_162_string_to_md5,0.0
HumanEval_163_generate_integers,0.0
HumanEval_16_count_distinct_characters,0.06
HumanEval_17_parse_music,0.76
HumanEval_18_how_many_times,0.82
HumanEval_19_sort_numbers,0.165
HumanEval_1_separate_paren_groups,0.285
HumanEval_20_find_closest_elements,0.0
HumanEval_21_rescale_to_unit,0.94
HumanEval_22_filter_integers,0.985
HumanEval_23_strlen,0.99
HumanEval_24_largest_divisor,0.73
HumanEval_25_factorize,0.995
HumanEval_26_remove_duplicates,0.0
HumanEval_27_flip_case,0.985
HumanEval_28_concatenate,1.0
HumanEval_29_filter_by_prefix,0.515
HumanEval_2_truncate_number,1.0
HumanEval_30_get_positive,0.995
HumanEval_31_is_prime,0.99
HumanEval_33_sort_third,0.0
HumanEval_34_unique,0.27
HumanEval_35_max_element,1.0
HumanEval_36_fizz_buzz,0.225
HumanEval_37_sort_even,0.0
HumanEval_39_prime_fib,0.0
HumanEval_3_below_zero,1.0
HumanEval_40_triples_sum_to_zero,0.595
HumanEval_41_car_race_collision,0.01
HumanEval_42_incr_list,1.0
HumanEval_43_pairs_sum_to_zero,0.645
HumanEval_44_change_base,0.84
HumanEval_45_triangle_area,1.0
HumanEval_46_fib4,0.51
HumanEval_47_median,0.41
HumanEval_48_is_palindrome,0.99
HumanEval_49_modp,0.475
HumanEval_4_mean_absolute_deviation,0.085
HumanEval_51_remove_vowels,0.64
HumanEval_52_below_threshold,1.0
HumanEval_53_add,1.0
HumanEval_54_same_chars,0.205
HumanEval_55_fib,1.0
HumanEval_56_correct_bracketing,0.945
HumanEval_57_monotonic,0.945
HumanEval_58_common,0.005
HumanEval_59_largest_prime_factor,0.955
HumanEval_5_intersperse,1.0
HumanEval_60_sum_to_n,1.0
HumanEval_61_correct_bracketing,0.965
HumanEval_62_derivative,0.085
HumanEval_63_fibfib,0.855
HumanEval_64_vowels_count,0.0
HumanEval_65_circular_shift,0.215
HumanEval_66_digitSum,0.97
HumanEval_67_fruit_distribution,0.965
HumanEval_68_pluck,0.0
HumanEval_69_search,0.18
HumanEval_6_parse_nested_parens,0.19
HumanEval_70_strange_sort_list,0.0
HumanEval_71_triangle_area,0.41
HumanEval_72_will_it_fly,0.995
HumanEval_73_smallest_change,0.255
HumanEval_74_total_match,0.53
HumanEval_75_is_multiply_prime,0.545
HumanEval_76_is_simple_power,0.715
HumanEval_77_iscube,0.075
HumanEval_78_hex_key,0.22
HumanEval_79_decimal_to_binary,0.01
HumanEval_7_filter_by_substring,1.0
HumanEval_80_is_happy,0.11
HumanEval_81_numerical_letter_grade,0.035
HumanEval_82_prime_length,0.005
HumanEval_83_starts_one_ends,0.0
HumanEval_84_solve,0.0
HumanEval_85_add,0.0
HumanEval_86_anti_shuffle,0.465
HumanEval_87_get_row,0.955
HumanEval_88_sort_array,0.1
HumanEval_89_encrypt,0.745
HumanEval_8_sum_product,0.0
HumanEval_90_next_smallest,0.01
HumanEval_91_is_bored,0.04
HumanEval_92_any_int,0.0
HumanEval_93_encode,0.005
HumanEval_94_skjkasdkd,0.595
HumanEval_95_check_dict_case,0.015
HumanEval_96_count_up_to,0.025
HumanEval_97_multiply,1.0
HumanEval_98_count_upper,0.0
HumanEval_99_closest_integer,0.14
HumanEval_9_rolling_max,1.0
