problem,pass,total
HumanEval_0_has_close_elements,155,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,0,200
HumanEval_100_make_a_pile,0,200
HumanEval_101_words_string,0,200
HumanEval_102_choose_num,38,200
HumanEval_104_unique_digits,0,200
HumanEval_105_by_length,0,200
HumanEval_106_f,0,200
HumanEval_107_even_odd_palindrome,0,200
HumanEval_108_count_nums,1,200
HumanEval_109_move_one_ball,12,200
HumanEval_11_string_xor,124,200
HumanEval_110_exchange,27,200
HumanEval_111_histogram,0,200
HumanEval_113_odd_count,0,200
HumanEval_114_minSubArraySum,57,200
HumanEval_115_max_fill,17,200
HumanEval_116_sort_array,0,200
HumanEval_117_select_words,0,200
HumanEval_118_get_closest_vowel,4,200
HumanEval_119_match_parens,1,200
HumanEval_12_longest,95,200
HumanEval_120_maximum,0,200
HumanEval_121_solution,127,200
HumanEval_122_add_elements,88,200
HumanEval_123_get_odd_collatz,0,200
HumanEval_124_valid_date,15,200
HumanEval_126_is_sorted,2,200
HumanEval_127_intersection,4,200
HumanEval_128_prod_signs,2,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,157,200
HumanEval_130_tri,0,200
HumanEval_131_digits,28,200
HumanEval_132_is_nested,1,200
HumanEval_133_sum_squares,67,200
HumanEval_134_check_if_last_char_is_a_letter,26,200
HumanEval_135_can_arrange,2,200
HumanEval_136_largest_smallest_integers,0,200
HumanEval_138_is_equal_to_sum_even,53,200
HumanEval_139_special_factorial,28,200
HumanEval_14_all_prefixes,0,200
HumanEval_140_fix_spaces,3,200
HumanEval_141_file_name_check,5,200
HumanEval_142_sum_squares,31,200
HumanEval_143_words_in_sentence,1,200
HumanEval_144_simplify,8,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,17,200
HumanEval_147_get_max_triples,40,200
HumanEval_148_bf,0,200
HumanEval_149_sorted_list_sum,0,200
HumanEval_15_string_sequence,88,200
HumanEval_150_x_or_y,10,200
HumanEval_151_double_the_difference,53,200
HumanEval_152_compare,0,200
HumanEval_153_Strongest_Extension,3,200
HumanEval_154_cycpattern_check,15,200
HumanEval_155_even_odd_count,0,200
HumanEval_156_int_to_mini_roman,17,200
HumanEval_157_right_angle_triangle,85,200
HumanEval_158_find_max,2,200
HumanEval_159_eat,0,200
HumanEval_16_count_distinct_characters,4,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,5,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,51,200
HumanEval_19_sort_numbers,1,200
HumanEval_2_truncate_number,164,200
HumanEval_20_find_closest_elements,0,200
HumanEval_21_rescale_to_unit,0,200
HumanEval_23_strlen,200,200
HumanEval_24_largest_divisor,125,200
HumanEval_25_factorize,0,200
HumanEval_26_remove_duplicates,0,200
HumanEval_27_flip_case,83,200
HumanEval_28_concatenate,133,200
HumanEval_29_filter_by_prefix,0,200
HumanEval_3_below_zero,139,200
HumanEval_30_get_positive,0,200
HumanEval_31_is_prime,121,200
HumanEval_33_sort_third,0,200
HumanEval_34_unique,0,200
HumanEval_35_max_element,142,200
HumanEval_36_fizz_buzz,8,200
HumanEval_37_sort_even,0,200
HumanEval_39_prime_fib,0,200
HumanEval_4_mean_absolute_deviation,0,200
HumanEval_40_triples_sum_to_zero,153,200
HumanEval_41_car_race_collision,56,200
HumanEval_42_incr_list,0,200
HumanEval_43_pairs_sum_to_zero,109,200
HumanEval_44_change_base,97,200
HumanEval_45_triangle_area,199,200
HumanEval_46_fib4,55,200
HumanEval_47_median,11,200
HumanEval_48_is_palindrome,61,200
HumanEval_49_modp,8,200
HumanEval_5_intersperse,0,200
HumanEval_51_remove_vowels,54,200
HumanEval_52_below_threshold,119,200
HumanEval_53_add,198,200
HumanEval_54_same_chars,6,200
HumanEval_55_fib,121,200
HumanEval_56_correct_bracketing,59,200
HumanEval_57_monotonic,43,200
HumanEval_58_common,0,200
HumanEval_59_largest_prime_factor,71,200
HumanEval_6_parse_nested_parens,0,200
HumanEval_60_sum_to_n,179,200
HumanEval_61_correct_bracketing,66,200
HumanEval_62_derivative,0,200
HumanEval_63_fibfib,88,200
HumanEval_64_vowels_count,33,200
HumanEval_65_circular_shift,1,200
HumanEval_66_digitSum,137,200
HumanEval_67_fruit_distribution,6,200
HumanEval_68_pluck,0,200
HumanEval_69_search,5,200
HumanEval_7_filter_by_substring,0,200
HumanEval_70_strange_sort_list,0,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,36,200
HumanEval_73_smallest_change,114,200
HumanEval_74_total_match,1,200
HumanEval_75_is_multiply_prime,3,200
HumanEval_76_is_simple_power,49,200
HumanEval_77_iscube,20,200
HumanEval_78_hex_key,58,200
HumanEval_79_decimal_to_binary,14,200
HumanEval_8_sum_product,0,200
HumanEval_80_is_happy,49,200
HumanEval_81_numerical_letter_grade,0,200
HumanEval_82_prime_length,41,200
HumanEval_83_starts_one_ends,5,200
HumanEval_84_solve,1,200
HumanEval_85_add,75,200
HumanEval_86_anti_shuffle,0,200
HumanEval_87_get_row,0,200
HumanEval_88_sort_array,0,200
HumanEval_89_encrypt,37,200
HumanEval_9_rolling_max,0,200
HumanEval_90_next_smallest,16,200
HumanEval_91_is_bored,4,200
HumanEval_92_any_int,0,200
HumanEval_93_encode,3,200
HumanEval_94_skjkasdkd,21,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,0,200
HumanEval_97_multiply,82,200
HumanEval_98_count_upper,57,200
HumanEval_99_closest_integer,20,200
