BaseDataset,ProblemName,Model,Language,Temperature,NumPassed,NumCompletions
humaneval,HumanEval_162_string_to_md5,keep,m,0.2,0,20
humaneval,HumanEval_115_max_fill,keep,m,0.2,0,20
humaneval,HumanEval_145_order_by_points,keep,m,0.2,0,20
humaneval,HumanEval_40_triples_sum_to_zero,keep,m,0.2,0,20
humaneval,HumanEval_75_is_multiply_prime,keep,m,0.2,0,20
humaneval,HumanEval_44_change_base,keep,m,0.2,0,20
humaneval,HumanEval_98_count_upper,keep,m,0.2,0,20
humaneval,HumanEval_54_same_chars,keep,m,0.2,0,20
humaneval,HumanEval_23_strlen,keep,m,0.2,0,20
humaneval,HumanEval_18_how_many_times,keep,m,0.2,0,20
humaneval,HumanEval_60_sum_to_n,keep,m,0.2,0,20
humaneval,HumanEval_160_do_algebra,keep,m,0.2,0,20
humaneval,HumanEval_148_bf,keep,m,0.2,0,20
humaneval,HumanEval_110_exchange,keep,m,0.2,0,20
humaneval,HumanEval_141_file_name_check,keep,m,0.2,0,20
humaneval,HumanEval_16_count_distinct_characters,keep,m,0.2,0,20
humaneval,HumanEval_42_incr_list,keep,m,0.2,0,20
humaneval,HumanEval_24_largest_divisor,keep,m,0.2,0,20
humaneval,HumanEval_136_largest_smallest_integers,keep,m,0.2,0,20
humaneval,HumanEval_117_select_words,keep,m,0.2,0,20
humaneval,HumanEval_13_greatest_common_divisor,keep,m,0.2,0,20
humaneval,HumanEval_6_parse_nested_parens,keep,m,0.2,0,20
humaneval,HumanEval_34_unique,keep,m,0.2,0,20
humaneval,HumanEval_73_smallest_change,keep,m,0.2,0,20
humaneval,HumanEval_58_common,keep,m,0.2,0,20
humaneval,HumanEval_4_mean_absolute_deviation,keep,m,0.2,0,20
humaneval,HumanEval_86_anti_shuffle,keep,m,0.2,0,20
humaneval,HumanEval_106_f,keep,m,0.2,0,20
humaneval,HumanEval_93_encode,keep,m,0.2,0,20
humaneval,HumanEval_109_move_one_ball,keep,m,0.2,0,20
humaneval,HumanEval_2_truncate_number,keep,m,0.2,0,20
humaneval,HumanEval_35_max_element,keep,m,0.2,0,20
humaneval,HumanEval_101_words_string,keep,m,0.2,0,20
humaneval,HumanEval_88_sort_array,keep,m,0.2,0,20
humaneval,HumanEval_47_median,keep,m,0.2,0,20
humaneval,HumanEval_107_even_odd_palindrome,keep,m,0.2,0,20
humaneval,HumanEval_70_strange_sort_list,keep,m,0.2,0,20
humaneval,HumanEval_20_find_closest_elements,keep,m,0.2,0,20
humaneval,HumanEval_12_longest,keep,m,0.2,0,20
humaneval,HumanEval_123_get_odd_collatz,keep,m,0.2,0,20
humaneval,HumanEval_130_tri,keep,m,0.2,0,20
