problem,pass,total
HumanEval_0_has_close_elements,36,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,8,200
HumanEval_100_make_a_pile,12,200
HumanEval_101_words_string,30,200
HumanEval_102_choose_num,127,200
HumanEval_103_rounded_avg,2,200
HumanEval_104_unique_digits,25,200
HumanEval_105_by_length,27,200
HumanEval_106_f,9,200
HumanEval_107_even_odd_palindrome,80,200
HumanEval_108_count_nums,8,200
HumanEval_109_move_one_ball,7,200
HumanEval_11_string_xor,7,200
HumanEval_110_exchange,153,200
HumanEval_111_histogram,2,200
HumanEval_112_reverse_delete,22,200
HumanEval_113_odd_count,0,200
HumanEval_114_minSubArraySum,165,200
HumanEval_115_max_fill,0,200
HumanEval_116_sort_array,6,200
HumanEval_117_select_words,80,200
HumanEval_118_get_closest_vowel,24,200
HumanEval_119_match_parens,6,200
HumanEval_12_longest,19,200
HumanEval_120_maximum,33,200
HumanEval_121_solution,114,200
HumanEval_122_add_elements,186,200
HumanEval_123_get_odd_collatz,75,200
HumanEval_124_valid_date,2,200
HumanEval_125_split_words,27,200
HumanEval_126_is_sorted,31,200
HumanEval_127_intersection,0,200
HumanEval_128_prod_signs,173,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,167,200
HumanEval_130_tri,21,200
HumanEval_131_digits,98,200
HumanEval_132_is_nested,2,200
HumanEval_133_sum_squares,145,200
HumanEval_134_check_if_last_char_is_a_letter,2,200
HumanEval_135_can_arrange,62,200
HumanEval_136_largest_smallest_integers,130,200
HumanEval_137_compare_one,28,200
HumanEval_138_is_equal_to_sum_even,123,200
HumanEval_139_special_factorial,2,200
HumanEval_14_all_prefixes,185,200
HumanEval_140_fix_spaces,6,200
HumanEval_141_file_name_check,0,200
HumanEval_142_sum_squares,54,200
HumanEval_143_words_in_sentence,112,200
HumanEval_144_simplify,35,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,64,200
HumanEval_147_get_max_triples,4,200
HumanEval_148_bf,0,200
HumanEval_149_sorted_list_sum,23,200
HumanEval_15_string_sequence,139,200
HumanEval_150_x_or_y,43,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,186,200
HumanEval_153_Strongest_Extension,55,200
HumanEval_154_cycpattern_check,70,200
HumanEval_155_even_odd_count,107,200
HumanEval_156_int_to_mini_roman,25,200
HumanEval_157_right_angle_triangle,155,200
HumanEval_158_find_max,62,200
HumanEval_159_eat,186,200
HumanEval_16_count_distinct_characters,163,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,2,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,5,200
HumanEval_17_parse_music,39,200
HumanEval_18_how_many_times,24,200
HumanEval_19_sort_numbers,0,200
HumanEval_2_truncate_number,197,200
HumanEval_20_find_closest_elements,40,200
HumanEval_21_rescale_to_unit,198,200
HumanEval_22_filter_integers,162,200
HumanEval_23_strlen,198,200
HumanEval_24_largest_divisor,162,200
HumanEval_25_factorize,61,200
HumanEval_26_remove_duplicates,5,200
HumanEval_27_flip_case,36,200
HumanEval_28_concatenate,0,200
HumanEval_29_filter_by_prefix,109,200
HumanEval_3_below_zero,146,200
HumanEval_30_get_positive,109,200
HumanEval_31_is_prime,197,200
HumanEval_33_sort_third,11,200
HumanEval_34_unique,194,200
HumanEval_35_max_element,188,200
HumanEval_36_fizz_buzz,94,200
HumanEval_37_sort_even,51,200
HumanEval_39_prime_fib,2,200
HumanEval_4_mean_absolute_deviation,181,200
HumanEval_40_triples_sum_to_zero,123,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,141,200
HumanEval_43_pairs_sum_to_zero,155,200
HumanEval_44_change_base,78,200
HumanEval_45_triangle_area,113,200
HumanEval_46_fib4,93,200
HumanEval_47_median,3,200
HumanEval_48_is_palindrome,194,200
HumanEval_49_modp,156,200
HumanEval_5_intersperse,20,200
HumanEval_51_remove_vowels,153,200
HumanEval_52_below_threshold,0,200
HumanEval_53_add,198,200
HumanEval_54_same_chars,13,200
HumanEval_55_fib,190,200
HumanEval_56_correct_bracketing,37,200
HumanEval_57_monotonic,73,200
HumanEval_58_common,171,200
HumanEval_59_largest_prime_factor,54,200
HumanEval_6_parse_nested_parens,80,200
HumanEval_60_sum_to_n,199,200
HumanEval_61_correct_bracketing,9,200
