Langauge,ProblemName,NumPassed,NumCompletions
Haskell,HumanEval_100_make_a_pile,0,50
Haskell,HumanEval_111_histogram,0,30
Haskell,HumanEval_143_words_in_sentence,0,30
Haskell,HumanEval_132_is_nested,0,30
Haskell,HumanEval_122_add_elements,0,30
Haskell,HumanEval_82_prime_length,0,30
Haskell,HumanEval_0_has_close_elements,0,50
Haskell,HumanEval_126_is_sorted,0,30
Haskell,HumanEval_154_cycpattern_check,0,30
Haskell,HumanEval_29_filter_by_prefix,7,30
Haskell,HumanEval_79_decimal_to_binary,0,30
Haskell,HumanEval_9_rolling_max,0,30
Haskell,HumanEval_130_tri,0,30
Haskell,HumanEval_133_sum_squares,0,30
Haskell,HumanEval_78_hex_key,0,30
Haskell,HumanEval_46_fib4,0,30
Haskell,HumanEval_162_string_to_md5,0,30
Haskell,HumanEval_68_pluck,0,30
Haskell,HumanEval_63_fibfib,0,30
Haskell,HumanEval_6_parse_nested_parens,0,30
Haskell,HumanEval_16_count_distinct_characters,0,30
Haskell,HumanEval_28_concatenate,26,30
Haskell,HumanEval_147_get_max_triples,0,30
Haskell,HumanEval_14_all_prefixes,0,30
Haskell,HumanEval_92_any_int,0,30
Haskell,HumanEval_44_change_base,0,30
Haskell,HumanEval_99_closest_integer,0,30
Haskell,HumanEval_2_truncate_number,0,30
Haskell,HumanEval_69_search,0,30
Haskell,HumanEval_11_string_xor,0,30
Haskell,HumanEval_34_unique,0,30
Haskell,HumanEval_27_flip_case,0,30
Haskell,HumanEval_15_string_sequence,9,30
Haskell,HumanEval_119_match_parens,0,30
Haskell,HumanEval_72_will_it_fly,1,30
Haskell,HumanEval_53_add,30,30
Haskell,HumanEval_51_remove_vowels,0,30
Haskell,HumanEval_57_monotonic,0,30
Haskell,HumanEval_121_solution,0,30
Haskell,HumanEval_110_exchange,0,30
Haskell,HumanEval_62_derivative,0,30
Haskell,HumanEval_108_count_nums,0,30
Haskell,HumanEval_17_parse_music,0,30
Haskell,HumanEval_26_remove_duplicates,0,30
Haskell,HumanEval_107_even_odd_palindrome,0,30
Haskell,HumanEval_66_digitSum,0,30
Haskell,HumanEval_40_triples_sum_to_zero,0,30
Haskell,HumanEval_153_Strongest_Extension,0,30
Haskell,HumanEval_42_incr_list,26,30
Haskell,HumanEval_98_count_upper,0,30
Haskell,HumanEval_71_triangle_area,0,30
Haskell,HumanEval_144_simplify,0,30
Haskell,HumanEval_95_check_dict_case,0,30
Haskell,HumanEval_106_f,0,30
Haskell,HumanEval_159_eat,0,30
Haskell,HumanEval_156_int_to_mini_roman,0,30
Haskell,HumanEval_37_sort_even,0,30
Haskell,HumanEval_60_sum_to_n,30,30
Haskell,HumanEval_21_rescale_to_unit,0,30
Haskell,HumanEval_146_specialFilter,0,30
Haskell,HumanEval_8_sum_product,30,30
Haskell,HumanEval_56_correct_bracketing,0,30
Haskell,HumanEval_113_odd_count,0,30
Haskell,HumanEval_7_filter_by_substring,0,30
Haskell,HumanEval_55_fib,16,30
Haskell,HumanEval_118_get_closest_vowel,0,30
Haskell,HumanEval_104_unique_digits,0,50
Haskell,HumanEval_157_right_angle_triangle,0,30
Haskell,HumanEval_74_total_match,0,30
Haskell,HumanEval_151_double_the_difference,0,30
Haskell,HumanEval_115_max_fill,0,30
Haskell,HumanEval_152_compare,0,30
Haskell,HumanEval_84_solve,0,30
Haskell,HumanEval_33_sort_third,0,30
Haskell,HumanEval_64_vowels_count,0,30
Haskell,HumanEval_59_largest_prime_factor,0,30
Haskell,HumanEval_102_choose_num,0,50
Haskell,HumanEval_67_fruit_distribution,0,30
Haskell,HumanEval_49_modp,0,30
Haskell,HumanEval_141_file_name_check,0,30
Haskell,HumanEval_58_common,0,30
Haskell,HumanEval_124_valid_date,0,30
Haskell,HumanEval_93_encode,0,30
Haskell,HumanEval_127_intersection,0,30
Haskell,HumanEval_45_triangle_area,0,30
Haskell,HumanEval_135_can_arrange,0,30
Haskell,HumanEval_70_strange_sort_list,0,30
Haskell,HumanEval_131_digits,0,30
Haskell,HumanEval_114_minSubArraySum,0,30
Haskell,HumanEval_80_is_happy,0,30
Haskell,HumanEval_86_anti_shuffle,0,30
Haskell,HumanEval_105_by_length,0,50
Haskell,HumanEval_101_words_string,5,50
Haskell,HumanEval_47_median,0,30
Haskell,HumanEval_91_is_bored,0,30
Haskell,HumanEval_77_iscube,0,30
Haskell,HumanEval_85_add,0,30
Haskell,HumanEval_20_find_closest_elements,0,30
Haskell,HumanEval_161_solve,0,30
Haskell,HumanEval_43_pairs_sum_to_zero,0,30
