lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
sh,HumanEval_9_rolling_max,davinci,0.2,notypes_originalvocab,0.28,200,NA,NA,NA
sh,HumanEval_57_monotonic,davinci,0.2,notypes_originalvocab,0.33,200,NA,NA,NA
sh,HumanEval_37_sort_even,davinci,0.2,notypes_originalvocab,0.04,200,NA,NA,NA
sh,HumanEval_155_even_odd_count,davinci,0.2,notypes_originalvocab,0.00,200,NA,NA,NA
sh,HumanEval_142_sum_squares,davinci,0.2,notypes_originalvocab,0.10,200,NA,NA,NA
sh,HumanEval_158_find_max,davinci,0.2,notypes_originalvocab,0.01,200,NA,NA,NA
sh,HumanEval_144_simplify,davinci,0.2,notypes_originalvocab,0.19,200,NA,NA,NA
sh,HumanEval_76_is_simple_power,davinci,0.2,notypes_originalvocab,0.10,200,NA,NA,NA
sh,HumanEval_23_strlen,davinci,0.2,notypes_originalvocab,1.00,200,NA,NA,NA
sh,HumanEval_122_add_elements,davinci,0.2,notypes_originalvocab,0.60,200,NA,NA,NA
sh,HumanEval_126_is_sorted,davinci,0.2,notypes_originalvocab,0.01,200,NA,NA,NA
sh,HumanEval_22_filter_integers,davinci,0.2,notypes_originalvocab,0.16,200,NA,NA,NA
sh,HumanEval_81_numerical_letter_grade,davinci,0.2,notypes_originalvocab,0.00,200,NA,NA,NA
sh,HumanEval_129_minPath,davinci,0.2,notypes_originalvocab,0.00,200,NA,NA,NA
sh,HumanEval_75_is_multiply_prime,davinci,0.2,notypes_originalvocab,0.06,200,NA,NA,NA
sh,HumanEval_106_f,davinci,0.2,notypes_originalvocab,0.37,200,NA,NA,NA
sh,HumanEval_55_fib,davinci,0.2,notypes_originalvocab,0.98,200,NA,NA,NA
sh,HumanEval_151_double_the_difference,davinci,0.2,notypes_originalvocab,0.01,200,NA,NA,NA
sh,HumanEval_17_parse_music,davinci,0.2,notypes_originalvocab,0.01,200,NA,NA,NA
sh,HumanEval_114_minSubArraySum,davinci,0.2,notypes_originalvocab,0.01,200,NA,NA,NA
sh,HumanEval_152_compare,davinci,0.2,notypes_originalvocab,0.47,200,NA,NA,NA
sh,HumanEval_73_smallest_change,davinci,0.2,notypes_originalvocab,0.35,200,NA,NA,NA
sh,HumanEval_156_int_to_mini_roman,davinci,0.2,notypes_originalvocab,0.18,200,NA,NA,NA
sh,HumanEval_154_cycpattern_check,davinci,0.2,notypes_originalvocab,0.11,200,NA,NA,NA
sh,HumanEval_102_choose_num,davinci,0.2,notypes_originalvocab,0.27,200,NA,NA,NA
sh,HumanEval_133_sum_squares,davinci,0.2,notypes_originalvocab,0.00,200,NA,NA,NA
sh,HumanEval_60_sum_to_n,davinci,0.2,notypes_originalvocab,0.99,200,NA,NA,NA
sh,HumanEval_87_get_row,davinci,0.2,notypes_originalvocab,0.00,200,NA,NA,NA
sh,HumanEval_26_remove_duplicates,davinci,0.2,notypes_originalvocab,0.02,200,NA,NA,NA
sh,HumanEval_41_car_race_collision,davinci,0.2,notypes_originalvocab,0.05,200,NA,NA,NA
sh,HumanEval_2_truncate_number,davinci,0.2,notypes_originalvocab,0.68,200,NA,NA,NA
sh,HumanEval_63_fibfib,davinci,0.2,notypes_originalvocab,0.79,200,NA,NA,NA
sh,HumanEval_24_largest_divisor,davinci,0.2,notypes_originalvocab,0.66,200,NA,NA,NA
sh,HumanEval_1_separate_paren_groups,davinci,0.2,notypes_originalvocab,0.03,200,NA,NA,NA
sh,HumanEval_53_add,davinci,0.2,notypes_originalvocab,1.00,200,NA,NA,NA
