lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
ts,HumanEval_66_digitSum,davinci,0.2,all_types_any,0.59,200,NA,NA,NA
ts,HumanEval_124_valid_date,davinci,0.2,all_types_any,0.74,200,NA,NA,NA
ts,HumanEval_100_make_a_pile,davinci,0.2,all_types_any,0.23,200,NA,NA,NA
ts,HumanEval_71_triangle_area,davinci,0.2,all_types_any,0.63,200,NA,NA,NA
ts,HumanEval_73_smallest_change,davinci,0.2,all_types_any,0.95,200,NA,NA,NA
ts,HumanEval_35_max_element,davinci,0.2,all_types_any,1.00,200,NA,NA,NA
ts,HumanEval_157_right_angle_triangle,davinci,0.2,all_types_any,0.83,200,NA,NA,NA
ts,HumanEval_144_simplify,davinci,0.2,all_types_any,0.16,200,NA,NA,NA
ts,HumanEval_48_is_palindrome,davinci,0.2,all_types_any,0.99,200,NA,NA,NA
ts,HumanEval_69_search,davinci,0.2,all_types_any,0.31,200,NA,NA,NA
ts,HumanEval_131_digits,davinci,0.2,all_types_any,0.02,200,NA,NA,NA
ts,HumanEval_68_pluck,davinci,0.2,all_types_any,0.85,200,NA,NA,NA
ts,HumanEval_105_by_length,davinci,0.2,all_types_any,0.68,200,NA,NA,NA
ts,HumanEval_25_factorize,davinci,0.2,all_types_any,0.33,200,NA,NA,NA
ts,HumanEval_83_starts_one_ends,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_75_is_multiply_prime,davinci,0.2,all_types_any,0.33,200,NA,NA,NA
ts,HumanEval_95_check_dict_case,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_146_specialFilter,davinci,0.2,all_types_any,0.01,200,NA,NA,NA
ts,HumanEval_110_exchange,davinci,0.2,all_types_any,0.04,200,NA,NA,NA
ts,HumanEval_89_encrypt,davinci,0.2,all_types_any,0.29,200,NA,NA,NA
ts,HumanEval_41_car_race_collision,davinci,0.2,all_types_any,0.01,200,NA,NA,NA
ts,HumanEval_117_select_words,davinci,0.2,all_types_any,0.10,200,NA,NA,NA
ts,HumanEval_85_add,davinci,0.2,all_types_any,0.99,200,NA,NA,NA
ts,HumanEval_79_decimal_to_binary,davinci,0.2,all_types_any,0.39,200,NA,NA,NA
ts,HumanEval_28_concatenate,davinci,0.2,all_types_any,0.96,200,NA,NA,NA
ts,HumanEval_54_same_chars,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_62_derivative,davinci,0.2,all_types_any,1.00,200,NA,NA,NA
ts,HumanEval_59_largest_prime_factor,davinci,0.2,all_types_any,0.79,200,NA,NA,NA
ts,HumanEval_58_common,davinci,0.2,all_types_any,0.52,200,NA,NA,NA
ts,HumanEval_47_median,davinci,0.2,all_types_any,0.31,200,NA,NA,NA
ts,HumanEval_11_string_xor,davinci,0.2,all_types_any,0.84,200,NA,NA,NA
ts,HumanEval_160_do_algebra,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_26_remove_duplicates,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_82_prime_length,davinci,0.2,all_types_any,0.15,200,NA,NA,NA
ts,HumanEval_122_add_elements,davinci,0.2,all_types_any,0.99,200,NA,NA,NA
ts,HumanEval_76_is_simple_power,davinci,0.2,all_types_any,0.14,200,NA,NA,NA
ts,HumanEval_161_solve,davinci,0.2,all_types_any,0.18,200,NA,NA,NA
ts,HumanEval_14_all_prefixes,davinci,0.2,all_types_any,1.00,200,NA,NA,NA
ts,HumanEval_22_filter_integers,davinci,0.2,all_types_any,0.48,200,NA,NA,NA
ts,HumanEval_139_special_factorial,davinci,0.2,all_types_any,0.01,200,NA,NA,NA
ts,HumanEval_140_fix_spaces,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_102_choose_num,davinci,0.2,all_types_any,0.14,200,NA,NA,NA
ts,HumanEval_135_can_arrange,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_98_count_upper,davinci,0.2,all_types_any,0.11,200,NA,NA,NA
ts,HumanEval_65_circular_shift,davinci,0.2,all_types_any,0.28,200,NA,NA,NA
ts,HumanEval_12_longest,davinci,0.2,all_types_any,0.96,200,NA,NA,NA
ts,HumanEval_46_fib4,davinci,0.2,all_types_any,0.42,200,NA,NA,NA
ts,HumanEval_113_odd_count,davinci,0.2,all_types_any,0.77,200,NA,NA,NA
ts,HumanEval_133_sum_squares,davinci,0.2,all_types_any,1.00,200,NA,NA,NA
ts,HumanEval_99_closest_integer,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_103_rounded_avg,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_126_is_sorted,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_111_histogram,davinci,0.2,all_types_any,0.02,200,NA,NA,NA
ts,HumanEval_152_compare,davinci,0.2,all_types_any,1.00,200,NA,NA,NA
ts,HumanEval_15_string_sequence,davinci,0.2,all_types_any,0.90,200,NA,NA,NA
ts,HumanEval_74_total_match,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_118_get_closest_vowel,davinci,0.2,all_types_any,0.03,200,NA,NA,NA
ts,HumanEval_107_even_odd_palindrome,davinci,0.2,all_types_any,0.07,200,NA,NA,NA
ts,HumanEval_150_x_or_y,davinci,0.2,all_types_any,0.10,200,NA,NA,NA
ts,HumanEval_87_get_row,davinci,0.2,all_types_any,0.96,200,NA,NA,NA
ts,HumanEval_86_anti_shuffle,davinci,0.2,all_types_any,0.83,200,NA,NA,NA
ts,HumanEval_91_is_bored,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_5_intersperse,davinci,0.2,all_types_any,0.41,200,NA,NA,NA
ts,HumanEval_121_solution,davinci,0.2,all_types_any,0.97,200,NA,NA,NA
ts,HumanEval_34_unique,davinci,0.2,all_types_any,0.04,200,NA,NA,NA
ts,HumanEval_136_largest_smallest_integers,davinci,0.2,all_types_any,0.63,200,NA,NA,NA
ts,HumanEval_116_sort_array,davinci,0.2,all_types_any,0.81,200,NA,NA,NA
ts,HumanEval_119_match_parens,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
ts,HumanEval_145_order_by_points,davinci,0.2,all_types_any,0.00,200,NA,NA,NA
