problem,pass,total
HumanEval_0_has_close_elements,2,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,0,200
HumanEval_100_make_a_pile,0,200
HumanEval_101_words_string,0,200
HumanEval_102_choose_num,0,200
HumanEval_104_unique_digits,58,200
HumanEval_105_by_length,15,200
HumanEval_106_f,0,200
HumanEval_107_even_odd_palindrome,0,200
HumanEval_108_count_nums,0,200
HumanEval_109_move_one_ball,4,200
HumanEval_11_string_xor,63,200
HumanEval_110_exchange,2,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,147,200
HumanEval_113_odd_count,43,200
HumanEval_114_minSubArraySum,0,200
HumanEval_115_max_fill,30,200
HumanEval_116_sort_array,0,200
HumanEval_117_select_words,32,200
HumanEval_118_get_closest_vowel,0,200
HumanEval_119_match_parens,0,200
HumanEval_12_longest,1,200
HumanEval_120_maximum,52,200
HumanEval_121_solution,56,200
HumanEval_122_add_elements,24,200
HumanEval_123_get_odd_collatz,0,200
HumanEval_124_valid_date,0,200
HumanEval_126_is_sorted,0,200
HumanEval_127_intersection,1,200
HumanEval_128_prod_signs,56,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,163,200
HumanEval_130_tri,0,200
HumanEval_131_digits,3,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,169,200
HumanEval_134_check_if_last_char_is_a_letter,0,200
HumanEval_135_can_arrange,2,200
HumanEval_136_largest_smallest_integers,0,200
HumanEval_138_is_equal_to_sum_even,1,200
HumanEval_139_special_factorial,0,200
HumanEval_14_all_prefixes,66,200
HumanEval_140_fix_spaces,1,200
HumanEval_141_file_name_check,0,200
HumanEval_142_sum_squares,0,200
HumanEval_143_words_in_sentence,4,200
HumanEval_144_simplify,0,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,14,200
HumanEval_147_get_max_triples,0,200
HumanEval_149_sorted_list_sum,5,200
HumanEval_15_string_sequence,140,200
HumanEval_150_x_or_y,0,200
HumanEval_151_double_the_difference,2,200
HumanEval_152_compare,200,200
HumanEval_153_Strongest_Extension,0,200
HumanEval_154_cycpattern_check,38,200
HumanEval_155_even_odd_count,17,200
HumanEval_156_int_to_mini_roman,2,200
HumanEval_157_right_angle_triangle,106,200
HumanEval_158_find_max,0,200
HumanEval_159_eat,30,200
HumanEval_16_count_distinct_characters,5,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,3,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,27,200
HumanEval_19_sort_numbers,3,200
HumanEval_2_truncate_number,200,200
HumanEval_20_find_closest_elements,0,200
HumanEval_21_rescale_to_unit,74,200
HumanEval_23_strlen,200,200
HumanEval_24_largest_divisor,16,200
HumanEval_25_factorize,0,200
HumanEval_26_remove_duplicates,12,200
HumanEval_27_flip_case,143,200
HumanEval_28_concatenate,200,200
HumanEval_29_filter_by_prefix,195,200
HumanEval_3_below_zero,0,200
HumanEval_30_get_positive,199,200
HumanEval_31_is_prime,10,200
HumanEval_33_sort_third,0,200
HumanEval_34_unique,190,200
HumanEval_35_max_element,184,200
HumanEval_36_fizz_buzz,3,200
HumanEval_37_sort_even,0,200
HumanEval_39_prime_fib,0,200
HumanEval_4_mean_absolute_deviation,42,200
HumanEval_40_triples_sum_to_zero,22,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,200,200
HumanEval_43_pairs_sum_to_zero,134,200
HumanEval_44_change_base,0,200
HumanEval_45_triangle_area,200,200
HumanEval_46_fib4,40,200
HumanEval_47_median,0,200
HumanEval_48_is_palindrome,157,200
