problem,pass,total
HumanEval_0_has_close_elements,197,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,6,200
HumanEval_100_make_a_pile,0,200
HumanEval_101_words_string,1,200
HumanEval_102_choose_num,71,200
HumanEval_103_rounded_avg,0,200
HumanEval_104_unique_digits,143,200
HumanEval_105_by_length,87,200
HumanEval_106_f,119,200
HumanEval_107_even_odd_palindrome,0,200
HumanEval_108_count_nums,0,200
HumanEval_109_move_one_ball,9,200
HumanEval_11_string_xor,122,200
HumanEval_110_exchange,173,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,47,200
HumanEval_113_odd_count,47,200
HumanEval_114_minSubArraySum,162,200
HumanEval_115_max_fill,2,200
HumanEval_116_sort_array,171,200
HumanEval_117_select_words,25,200
HumanEval_118_get_closest_vowel,39,200
HumanEval_119_match_parens,9,200
HumanEval_12_longest,41,200
HumanEval_120_maximum,166,200
HumanEval_121_solution,57,200
HumanEval_122_add_elements,36,200
HumanEval_123_get_odd_collatz,197,200
HumanEval_124_valid_date,1,200
HumanEval_125_split_words,1,200
HumanEval_126_is_sorted,63,200
HumanEval_127_intersection,33,200
HumanEval_128_prod_signs,0,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,200,200
HumanEval_130_tri,15,200
HumanEval_131_digits,40,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,1,200
HumanEval_134_check_if_last_char_is_a_letter,2,200
HumanEval_135_can_arrange,0,200
HumanEval_136_largest_smallest_integers,182,200
HumanEval_137_compare_one,0,200
HumanEval_138_is_equal_to_sum_even,159,200
HumanEval_139_special_factorial,200,200
HumanEval_14_all_prefixes,36,200
HumanEval_140_fix_spaces,0,200
HumanEval_141_file_name_check,0,200
HumanEval_142_sum_squares,166,200
HumanEval_143_words_in_sentence,27,200
HumanEval_144_simplify,14,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,178,200
HumanEval_147_get_max_triples,0,200
HumanEval_148_bf,1,200
HumanEval_149_sorted_list_sum,36,200
HumanEval_15_string_sequence,101,200
HumanEval_150_x_or_y,39,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,189,200
HumanEval_153_Strongest_Extension,104,200
HumanEval_154_cycpattern_check,72,200
HumanEval_155_even_odd_count,2,200
HumanEval_156_int_to_mini_roman,192,200
HumanEval_157_right_angle_triangle,179,200
HumanEval_158_find_max,2,200
HumanEval_159_eat,194,200
HumanEval_16_count_distinct_characters,144,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,0,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,0,200
HumanEval_19_sort_numbers,0,200
HumanEval_2_truncate_number,200,200
HumanEval_20_find_closest_elements,1,200
HumanEval_21_rescale_to_unit,200,200
HumanEval_22_filter_integers,198,200
HumanEval_23_strlen,195,200
HumanEval_24_largest_divisor,200,200
HumanEval_25_factorize,112,200
HumanEval_26_remove_duplicates,0,200
HumanEval_27_flip_case,200,200
HumanEval_28_concatenate,199,200
HumanEval_29_filter_by_prefix,85,200
HumanEval_3_below_zero,199,200
HumanEval_30_get_positive,200,200
HumanEval_31_is_prime,200,200
HumanEval_33_sort_third,31,200
HumanEval_34_unique,80,200
HumanEval_35_max_element,133,200
HumanEval_36_fizz_buzz,4,200
HumanEval_37_sort_even,0,200
HumanEval_39_prime_fib,15,200
HumanEval_4_mean_absolute_deviation,200,200
HumanEval_40_triples_sum_to_zero,86,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,200,200
HumanEval_43_pairs_sum_to_zero,194,200
HumanEval_44_change_base,92,200
HumanEval_45_triangle_area,197,200
HumanEval_46_fib4,134,200
HumanEval_47_median,4,200
HumanEval_48_is_palindrome,200,200
HumanEval_49_modp,145,200
HumanEval_5_intersperse,100,200
HumanEval_51_remove_vowels,174,200
HumanEval_52_below_threshold,194,200
HumanEval_53_add,200,200
HumanEval_54_same_chars,0,200
HumanEval_55_fib,199,200
HumanEval_56_correct_bracketing,200,200
HumanEval_57_monotonic,14,200
HumanEval_58_common,91,200
HumanEval_59_largest_prime_factor,33,200
HumanEval_6_parse_nested_parens,26,200
HumanEval_60_sum_to_n,200,200
HumanEval_61_correct_bracketing,16,200
HumanEval_62_derivative,59,200
HumanEval_63_fibfib,67,200
HumanEval_64_vowels_count,0,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,182,200
HumanEval_67_fruit_distribution,33,200
HumanEval_68_pluck,85,200
HumanEval_69_search,17,200
HumanEval_7_filter_by_substring,0,200
HumanEval_70_strange_sort_list,20,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,148,200
HumanEval_73_smallest_change,193,200
HumanEval_74_total_match,116,200
HumanEval_75_is_multiply_prime,0,200
HumanEval_76_is_simple_power,78,200
HumanEval_77_iscube,20,200
HumanEval_78_hex_key,200,200
HumanEval_79_decimal_to_binary,25,200
HumanEval_8_sum_product,162,200
HumanEval_80_is_happy,177,200
HumanEval_81_numerical_letter_grade,200,200
HumanEval_82_prime_length,200,200
HumanEval_83_starts_one_ends,0,200
HumanEval_84_solve,108,200
HumanEval_85_add,156,200
HumanEval_86_anti_shuffle,1,200
HumanEval_87_get_row,5,200
HumanEval_88_sort_array,3,200
HumanEval_89_encrypt,114,200
HumanEval_9_rolling_max,28,200
HumanEval_90_next_smallest,23,200
HumanEval_91_is_bored,0,200
HumanEval_92_any_int,0,200
HumanEval_93_encode,32,200
HumanEval_94_skjkasdkd,62,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,8,200
HumanEval_97_multiply,200,200
HumanEval_98_count_upper,181,200
HumanEval_99_closest_integer,0,200
