problem,pass,total
HumanEval_0_has_close_elements,200,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,12,200
HumanEval_100_make_a_pile,198,200
HumanEval_101_words_string,0,200
HumanEval_102_choose_num,200,200
HumanEval_103_rounded_avg,0,200
HumanEval_104_unique_digits,189,200
HumanEval_105_by_length,59,200
HumanEval_106_f,190,200
HumanEval_107_even_odd_palindrome,89,200
HumanEval_108_count_nums,12,200
HumanEval_109_move_one_ball,65,200
HumanEval_11_string_xor,199,200
HumanEval_110_exchange,35,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,0,200
HumanEval_113_odd_count,0,200
HumanEval_114_minSubArraySum,198,200
HumanEval_115_max_fill,0,200
HumanEval_116_sort_array,0,200
HumanEval_117_select_words,21,200
HumanEval_118_get_closest_vowel,167,200
HumanEval_119_match_parens,52,200
HumanEval_12_longest,187,200
HumanEval_120_maximum,0,200
HumanEval_121_solution,5,200
HumanEval_122_add_elements,200,200
HumanEval_123_get_odd_collatz,181,200
HumanEval_124_valid_date,3,200
HumanEval_125_split_words,55,200
HumanEval_126_is_sorted,74,200
HumanEval_127_intersection,0,200
HumanEval_128_prod_signs,84,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,200,200
HumanEval_130_tri,0,200
HumanEval_131_digits,95,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,3,200
HumanEval_134_check_if_last_char_is_a_letter,0,200
HumanEval_135_can_arrange,195,200
HumanEval_136_largest_smallest_integers,99,200
HumanEval_137_compare_one,111,200
HumanEval_138_is_equal_to_sum_even,200,200
HumanEval_139_special_factorial,0,200
HumanEval_14_all_prefixes,187,200
HumanEval_140_fix_spaces,116,200
HumanEval_141_file_name_check,12,200
HumanEval_142_sum_squares,0,200
HumanEval_143_words_in_sentence,44,200
HumanEval_144_simplify,9,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,128,200
HumanEval_147_get_max_triples,1,200
HumanEval_148_bf,196,200
HumanEval_149_sorted_list_sum,0,200
HumanEval_15_string_sequence,200,200
HumanEval_150_x_or_y,60,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,170,200
HumanEval_153_Strongest_Extension,67,200
HumanEval_154_cycpattern_check,0,200
HumanEval_155_even_odd_count,91,200
HumanEval_156_int_to_mini_roman,19,200
HumanEval_157_right_angle_triangle,0,200
HumanEval_158_find_max,178,200
HumanEval_159_eat,121,200
HumanEval_16_count_distinct_characters,200,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,0,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,200,200
HumanEval_18_how_many_times,45,200
HumanEval_19_sort_numbers,15,200
HumanEval_2_truncate_number,140,200
HumanEval_20_find_closest_elements,1,200
HumanEval_21_rescale_to_unit,92,200
HumanEval_22_filter_integers,160,200
HumanEval_23_strlen,200,200
HumanEval_24_largest_divisor,200,200
HumanEval_25_factorize,188,200
HumanEval_26_remove_duplicates,172,200
HumanEval_27_flip_case,200,200
HumanEval_28_concatenate,200,200
HumanEval_29_filter_by_prefix,87,200
HumanEval_3_below_zero,200,200
HumanEval_30_get_positive,200,200
HumanEval_31_is_prime,200,200
HumanEval_33_sort_third,1,200
HumanEval_34_unique,60,200
HumanEval_35_max_element,200,200
HumanEval_36_fizz_buzz,69,200
HumanEval_37_sort_even,0,200
HumanEval_39_prime_fib,0,200
HumanEval_4_mean_absolute_deviation,200,200
HumanEval_40_triples_sum_to_zero,192,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,200,200
HumanEval_43_pairs_sum_to_zero,200,200
HumanEval_44_change_base,198,200
HumanEval_45_triangle_area,138,200
HumanEval_46_fib4,87,200
HumanEval_47_median,0,200
HumanEval_48_is_palindrome,1,200
HumanEval_49_modp,99,200
HumanEval_5_intersperse,200,200
HumanEval_51_remove_vowels,29,200
HumanEval_52_below_threshold,200,200
HumanEval_53_add,200,200
HumanEval_54_same_chars,5,200
HumanEval_55_fib,199,200
HumanEval_56_correct_bracketing,0,200
HumanEval_57_monotonic,7,200
HumanEval_58_common,110,200
HumanEval_59_largest_prime_factor,170,200
HumanEval_6_parse_nested_parens,69,200
HumanEval_60_sum_to_n,200,200
HumanEval_61_correct_bracketing,0,200
HumanEval_62_derivative,198,200
HumanEval_63_fibfib,138,200
HumanEval_64_vowels_count,14,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,200,200
HumanEval_67_fruit_distribution,136,200
HumanEval_68_pluck,145,200
HumanEval_69_search,200,200
HumanEval_7_filter_by_substring,187,200
HumanEval_70_strange_sort_list,115,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,113,200
HumanEval_73_smallest_change,21,200
HumanEval_74_total_match,200,200
HumanEval_75_is_multiply_prime,25,200
HumanEval_76_is_simple_power,56,200
HumanEval_77_iscube,15,200
HumanEval_78_hex_key,47,200
HumanEval_79_decimal_to_binary,197,200
HumanEval_8_sum_product,200,200
HumanEval_80_is_happy,200,200
HumanEval_81_numerical_letter_grade,200,200
HumanEval_82_prime_length,77,200
HumanEval_83_starts_one_ends,0,200
HumanEval_84_solve,127,200
HumanEval_85_add,9,200
HumanEval_86_anti_shuffle,0,200
HumanEval_87_get_row,0,200
HumanEval_88_sort_array,169,200
HumanEval_89_encrypt,123,200
HumanEval_9_rolling_max,200,200
HumanEval_90_next_smallest,0,200
HumanEval_91_is_bored,0,200
HumanEval_92_any_int,165,200
HumanEval_93_encode,9,200
HumanEval_94_skjkasdkd,0,200
HumanEval_95_check_dict_case,25,200
HumanEval_96_count_up_to,200,200
