problem,pass,total
HumanEval_0_has_close_elements,31,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,6,200
HumanEval_100_make_a_pile,0,200
HumanEval_101_words_string,2,200
HumanEval_102_choose_num,13,200
HumanEval_103_rounded_avg,6,200
HumanEval_104_unique_digits,22,200
HumanEval_105_by_length,31,200
HumanEval_106_f,44,200
HumanEval_107_even_odd_palindrome,27,200
HumanEval_108_count_nums,1,200
HumanEval_109_move_one_ball,8,200
HumanEval_11_string_xor,43,200
HumanEval_110_exchange,16,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,12,200
HumanEval_113_odd_count,10,200
HumanEval_114_minSubArraySum,7,200
HumanEval_115_max_fill,7,200
HumanEval_116_sort_array,12,200
HumanEval_117_select_words,0,200
HumanEval_118_get_closest_vowel,0,200
HumanEval_119_match_parens,0,200
HumanEval_12_longest,62,200
HumanEval_120_maximum,15,200
HumanEval_121_solution,27,200
HumanEval_122_add_elements,49,200
HumanEval_123_get_odd_collatz,32,200
HumanEval_124_valid_date,3,200
HumanEval_125_split_words,2,200
HumanEval_126_is_sorted,2,200
HumanEval_127_intersection,3,200
HumanEval_128_prod_signs,18,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,193,200
HumanEval_130_tri,9,200
HumanEval_131_digits,15,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,3,200
HumanEval_134_check_if_last_char_is_a_letter,4,200
HumanEval_135_can_arrange,3,200
HumanEval_136_largest_smallest_integers,99,200
HumanEval_137_compare_one,2,200
HumanEval_138_is_equal_to_sum_even,46,200
HumanEval_139_special_factorial,45,200
HumanEval_14_all_prefixes,44,200
HumanEval_140_fix_spaces,0,200
HumanEval_141_file_name_check,0,200
HumanEval_142_sum_squares,25,200
HumanEval_143_words_in_sentence,1,200
HumanEval_144_simplify,8,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,25,200
HumanEval_147_get_max_triples,2,200
HumanEval_148_bf,2,200
HumanEval_149_sorted_list_sum,21,200
HumanEval_15_string_sequence,63,200
HumanEval_150_x_or_y,1,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,127,200
HumanEval_153_Strongest_Extension,8,200
HumanEval_154_cycpattern_check,0,200
HumanEval_155_even_odd_count,13,200
HumanEval_156_int_to_mini_roman,8,200
HumanEval_157_right_angle_triangle,87,200
HumanEval_158_find_max,2,200
HumanEval_159_eat,58,200
HumanEval_16_count_distinct_characters,24,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,19,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,8,200
HumanEval_19_sort_numbers,0,200
HumanEval_2_truncate_number,134,200
HumanEval_20_find_closest_elements,14,200
HumanEval_21_rescale_to_unit,141,200
HumanEval_22_filter_integers,179,200
HumanEval_23_strlen,137,200
HumanEval_24_largest_divisor,84,200
HumanEval_25_factorize,45,200
HumanEval_26_remove_duplicates,6,200
HumanEval_27_flip_case,138,200
HumanEval_28_concatenate,144,200
HumanEval_29_filter_by_prefix,154,200
HumanEval_3_below_zero,46,200
HumanEval_30_get_positive,162,200
HumanEval_31_is_prime,63,200
HumanEval_33_sort_third,1,200
HumanEval_34_unique,50,200
HumanEval_35_max_element,156,200
HumanEval_36_fizz_buzz,24,200
HumanEval_37_sort_even,1,200
HumanEval_39_prime_fib,1,200
HumanEval_4_mean_absolute_deviation,82,200
HumanEval_40_triples_sum_to_zero,8,200
HumanEval_41_car_race_collision,7,200
HumanEval_42_incr_list,185,200
HumanEval_43_pairs_sum_to_zero,45,200
HumanEval_44_change_base,80,200
HumanEval_45_triangle_area,132,200
HumanEval_46_fib4,37,200
HumanEval_47_median,11,200
HumanEval_48_is_palindrome,91,200
HumanEval_49_modp,30,200
HumanEval_5_intersperse,73,200
HumanEval_51_remove_vowels,55,200
HumanEval_52_below_threshold,122,200
HumanEval_53_add,199,200
HumanEval_54_same_chars,1,200
