problem,pass,total
HumanEval_0_has_close_elements,51,200
HumanEval_1_separate_paren_groups,2,200
HumanEval_10_make_palindrome,19,200
HumanEval_100_make_a_pile,1,200
HumanEval_101_words_string,3,200
HumanEval_102_choose_num,96,200
HumanEval_103_rounded_avg,0,200
HumanEval_104_unique_digits,122,200
HumanEval_105_by_length,99,200
HumanEval_106_f,147,200
HumanEval_107_even_odd_palindrome,35,200
HumanEval_108_count_nums,0,200
HumanEval_109_move_one_ball,6,200
HumanEval_11_string_xor,93,200
HumanEval_110_exchange,144,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,57,200
HumanEval_113_odd_count,70,200
HumanEval_114_minSubArraySum,73,200
HumanEval_115_max_fill,0,200
HumanEval_116_sort_array,94,200
HumanEval_117_select_words,29,200
HumanEval_118_get_closest_vowel,7,200
HumanEval_119_match_parens,31,200
HumanEval_12_longest,153,200
HumanEval_120_maximum,0,200
HumanEval_121_solution,137,200
HumanEval_122_add_elements,67,200
HumanEval_123_get_odd_collatz,156,200
HumanEval_124_valid_date,3,200
HumanEval_125_split_words,5,200
HumanEval_126_is_sorted,80,200
HumanEval_127_intersection,51,200
HumanEval_128_prod_signs,65,200
HumanEval_129_minPath,1,200
HumanEval_13_greatest_common_divisor,193,200
HumanEval_130_tri,5,200
HumanEval_131_digits,16,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,1,200
HumanEval_134_check_if_last_char_is_a_letter,13,200
HumanEval_135_can_arrange,12,200
HumanEval_136_largest_smallest_integers,120,200
HumanEval_137_compare_one,1,200
HumanEval_138_is_equal_to_sum_even,166,200
HumanEval_139_special_factorial,120,200
HumanEval_14_all_prefixes,41,200
HumanEval_140_fix_spaces,1,200
HumanEval_141_file_name_check,1,200
HumanEval_142_sum_squares,159,200
HumanEval_143_words_in_sentence,3,200
HumanEval_144_simplify,0,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,144,200
HumanEval_147_get_max_triples,0,200
HumanEval_148_bf,7,200
HumanEval_149_sorted_list_sum,57,200
HumanEval_15_string_sequence,94,200
HumanEval_150_x_or_y,64,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,194,200
HumanEval_153_Strongest_Extension,53,200
HumanEval_154_cycpattern_check,57,200
HumanEval_155_even_odd_count,15,200
HumanEval_156_int_to_mini_roman,108,200
HumanEval_157_right_angle_triangle,131,200
HumanEval_158_find_max,1,200
HumanEval_159_eat,182,200
HumanEval_16_count_distinct_characters,68,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,1,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,23,200
HumanEval_19_sort_numbers,1,200
HumanEval_2_truncate_number,183,200
HumanEval_20_find_closest_elements,28,200
HumanEval_21_rescale_to_unit,192,200
HumanEval_22_filter_integers,182,200
HumanEval_23_strlen,188,200
HumanEval_24_largest_divisor,173,200
HumanEval_25_factorize,73,200
HumanEval_26_remove_duplicates,1,200
HumanEval_27_flip_case,159,200
HumanEval_28_concatenate,182,200
HumanEval_29_filter_by_prefix,80,200
HumanEval_3_below_zero,138,200
HumanEval_30_get_positive,177,200
HumanEval_31_is_prime,197,200
HumanEval_33_sort_third,26,200
HumanEval_34_unique,57,200
HumanEval_35_max_element,180,200
HumanEval_36_fizz_buzz,21,200
HumanEval_37_sort_even,3,200
HumanEval_39_prime_fib,2,200
HumanEval_4_mean_absolute_deviation,188,200
HumanEval_40_triples_sum_to_zero,57,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,192,200
HumanEval_43_pairs_sum_to_zero,166,200
HumanEval_44_change_base,116,200
HumanEval_45_triangle_area,153,200
HumanEval_46_fib4,115,200
HumanEval_47_median,51,200
HumanEval_48_is_palindrome,132,200
HumanEval_49_modp,137,200
HumanEval_5_intersperse,112,200
HumanEval_51_remove_vowels,165,200
HumanEval_52_below_threshold,187,200
HumanEval_53_add,198,200
HumanEval_54_same_chars,1,200
HumanEval_55_fib,191,200
HumanEval_56_correct_bracketing,168,200
HumanEval_57_monotonic,113,200
HumanEval_58_common,53,200
HumanEval_59_largest_prime_factor,27,200
