problem,pass,total
HumanEval_0_has_close_elements,10,200
HumanEval_1_separate_paren_groups,0,200
HumanEval_10_make_palindrome,1,200
HumanEval_100_make_a_pile,2,200
HumanEval_101_words_string,25,200
HumanEval_102_choose_num,2,200
HumanEval_103_rounded_avg,0,200
HumanEval_104_unique_digits,1,200
HumanEval_105_by_length,17,200
HumanEval_106_f,1,200
HumanEval_107_even_odd_palindrome,1,200
HumanEval_108_count_nums,0,200
HumanEval_109_move_one_ball,4,200
HumanEval_11_string_xor,54,200
HumanEval_110_exchange,0,200
HumanEval_111_histogram,2,200
HumanEval_112_reverse_delete,11,200
HumanEval_113_odd_count,1,200
HumanEval_114_minSubArraySum,27,200
HumanEval_115_max_fill,2,200
HumanEval_116_sort_array,1,200
HumanEval_117_select_words,4,200
HumanEval_118_get_closest_vowel,0,200
HumanEval_119_match_parens,0,200
HumanEval_12_longest,69,200
HumanEval_120_maximum,9,200
HumanEval_121_solution,5,200
HumanEval_122_add_elements,52,200
HumanEval_123_get_odd_collatz,0,200
HumanEval_124_valid_date,25,200
HumanEval_125_split_words,1,200
HumanEval_126_is_sorted,0,200
HumanEval_127_intersection,2,200
HumanEval_128_prod_signs,34,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,177,200
HumanEval_130_tri,0,200
HumanEval_131_digits,1,200
HumanEval_132_is_nested,5,200
HumanEval_133_sum_squares,77,200
HumanEval_134_check_if_last_char_is_a_letter,1,200
HumanEval_135_can_arrange,9,200
HumanEval_136_largest_smallest_integers,36,200
HumanEval_137_compare_one,13,200
HumanEval_138_is_equal_to_sum_even,22,200
HumanEval_139_special_factorial,6,200
HumanEval_14_all_prefixes,67,200
HumanEval_140_fix_spaces,5,200
HumanEval_141_file_name_check,1,200
HumanEval_142_sum_squares,12,200
HumanEval_143_words_in_sentence,6,200
HumanEval_144_simplify,13,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,7,200
HumanEval_147_get_max_triples,8,200
HumanEval_148_bf,4,200
HumanEval_149_sorted_list_sum,1,200
HumanEval_15_string_sequence,125,200
HumanEval_150_x_or_y,0,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,33,200
HumanEval_153_Strongest_Extension,0,200
HumanEval_154_cycpattern_check,1,200
HumanEval_155_even_odd_count,1,200
HumanEval_156_int_to_mini_roman,38,200
HumanEval_157_right_angle_triangle,79,200
HumanEval_158_find_max,12,200
HumanEval_159_eat,81,200
HumanEval_16_count_distinct_characters,34,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,0,200
HumanEval_162_string_to_md5,24,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,40,200
HumanEval_18_how_many_times,37,200
HumanEval_19_sort_numbers,12,200
HumanEval_2_truncate_number,169,200
HumanEval_20_find_closest_elements,8,200
HumanEval_21_rescale_to_unit,146,200
HumanEval_22_filter_integers,137,200
HumanEval_23_strlen,143,200
HumanEval_24_largest_divisor,36,200
HumanEval_25_factorize,33,200
HumanEval_26_remove_duplicates,6,200
HumanEval_27_flip_case,4,200
HumanEval_28_concatenate,155,200
HumanEval_29_filter_by_prefix,147,200
HumanEval_3_below_zero,23,200
HumanEval_30_get_positive,75,200
HumanEval_31_is_prime,20,200
HumanEval_33_sort_third,3,200
HumanEval_34_unique,86,200
HumanEval_35_max_element,123,200
HumanEval_36_fizz_buzz,19,200
HumanEval_37_sort_even,0,200
HumanEval_39_prime_fib,2,200
HumanEval_4_mean_absolute_deviation,68,200
HumanEval_40_triples_sum_to_zero,10,200
HumanEval_41_car_race_collision,11,200
HumanEval_42_incr_list,192,200
HumanEval_43_pairs_sum_to_zero,41,200
HumanEval_44_change_base,111,200
HumanEval_45_triangle_area,64,200
HumanEval_46_fib4,23,200
HumanEval_47_median,4,200
HumanEval_48_is_palindrome,72,200
HumanEval_49_modp,48,200
HumanEval_5_intersperse,79,200
HumanEval_51_remove_vowels,64,200
HumanEval_52_below_threshold,13,200
HumanEval_53_add,163,200
HumanEval_54_same_chars,0,200
HumanEval_55_fib,129,200
HumanEval_56_correct_bracketing,1,200
HumanEval_57_monotonic,5,200
HumanEval_58_common,73,200
HumanEval_59_largest_prime_factor,25,200
HumanEval_6_parse_nested_parens,9,200
HumanEval_60_sum_to_n,158,200
HumanEval_61_correct_bracketing,2,200
HumanEval_62_derivative,15,200
HumanEval_63_fibfib,110,200
HumanEval_64_vowels_count,5,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,4,200
HumanEval_67_fruit_distribution,5,200
HumanEval_68_pluck,4,200
HumanEval_69_search,52,200
HumanEval_7_filter_by_substring,114,200
HumanEval_70_strange_sort_list,0,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,54,200
HumanEval_73_smallest_change,68,200
HumanEval_74_total_match,16,200
HumanEval_75_is_multiply_prime,3,200
HumanEval_76_is_simple_power,37,200
HumanEval_77_iscube,1,200
HumanEval_78_hex_key,29,200
HumanEval_79_decimal_to_binary,3,200
HumanEval_8_sum_product,122,200
HumanEval_80_is_happy,11,200
HumanEval_81_numerical_letter_grade,43,200
HumanEval_82_prime_length,24,200
HumanEval_83_starts_one_ends,2,200
HumanEval_84_solve,6,200
HumanEval_85_add,2,200
HumanEval_86_anti_shuffle,20,200
HumanEval_87_get_row,24,200
HumanEval_88_sort_array,2,200
HumanEval_89_encrypt,3,200
HumanEval_9_rolling_max,50,200
HumanEval_90_next_smallest,15,200
HumanEval_91_is_bored,5,200
HumanEval_92_any_int,115,200
HumanEval_93_encode,0,200
HumanEval_94_skjkasdkd,1,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,4,200
HumanEval_97_multiply,150,200
HumanEval_98_count_upper,9,200
HumanEval_99_closest_integer,19,200
