Dlang,HumanEval_37_sort_even,Exception
Dlang,HumanEval_92_any_int,Exception
Dlang,HumanEval_41_car_race_collision,Exception
Dlang,HumanEval_69_search,Exception
Dlang,HumanEval_18_how_many_times,SyntaxError
Dlang,HumanEval_130_tri,Exception
Dlang,HumanEval_59_largest_prime_factor,OK
Dlang,HumanEval_76_is_simple_power,Exception
Dlang,HumanEval_9_rolling_max,SyntaxError
Dlang,HumanEval_63_fibfib,OK
Dlang,HumanEval_56_correct_bracketing,SyntaxError
Dlang,HumanEval_157_right_angle_triangle,Exception
Dlang,HumanEval_111_histogram,SyntaxError
Dlang,HumanEval_136_largest_smallest_integers,SyntaxError
Dlang,HumanEval_54_same_chars,SyntaxError
Dlang,HumanEval_70_strange_sort_list,SyntaxError
Dlang,HumanEval_64_vowels_count,SyntaxError
Dlang,HumanEval_144_simplify,SyntaxError
Dlang,HumanEval_58_common,SyntaxError
Dlang,HumanEval_6_parse_nested_parens,SyntaxError
Dlang,HumanEval_147_get_max_triples,Exception
Dlang,HumanEval_109_move_one_ball,SyntaxError
Dlang,HumanEval_65_circular_shift,SyntaxError
Dlang,HumanEval_35_max_element,OK
Dlang,HumanEval_4_mean_absolute_deviation,Exception
Dlang,HumanEval_134_check_if_last_char_is_a_letter,SyntaxError
Dlang,HumanEval_94_skjkasdkd,SyntaxError
Dlang,HumanEval_10_make_palindrome,SyntaxError
Dlang,HumanEval_7_filter_by_substring,SyntaxError
Dlang,HumanEval_82_prime_length,SyntaxError
Dlang,HumanEval_162_string_to_md5,SyntaxError
Dlang,HumanEval_143_words_in_sentence,SyntaxError
Dlang,HumanEval_55_fib,OK
Dlang,HumanEval_78_hex_key,SyntaxError
Dlang,HumanEval_90_next_smallest,SyntaxError
Dlang,HumanEval_129_minPath,SyntaxError
Dlang,HumanEval_33_sort_third,Exception
Dlang,HumanEval_62_derivative,SyntaxError
Dlang,HumanEval_79_decimal_to_binary,SyntaxError
Dlang,HumanEval_17_parse_music,SyntaxError
