problem,pass,total
HumanEval_0_has_close_elements,17,200
HumanEval_1_separate_paren_groups,1,200
HumanEval_10_make_palindrome,9,200
HumanEval_100_make_a_pile,1,200
HumanEval_101_words_string,0,200
HumanEval_102_choose_num,33,200
HumanEval_103_rounded_avg,12,200
HumanEval_104_unique_digits,15,200
HumanEval_105_by_length,22,200
HumanEval_106_f,32,200
HumanEval_107_even_odd_palindrome,33,200
HumanEval_108_count_nums,1,200
HumanEval_109_move_one_ball,1,200
HumanEval_11_string_xor,52,200
HumanEval_110_exchange,10,200
HumanEval_111_histogram,0,200
HumanEval_112_reverse_delete,5,200
HumanEval_113_odd_count,9,200
HumanEval_114_minSubArraySum,5,200
HumanEval_115_max_fill,2,200
HumanEval_116_sort_array,4,200
HumanEval_117_select_words,0,200
HumanEval_118_get_closest_vowel,0,200
HumanEval_119_match_parens,0,200
HumanEval_12_longest,50,200
HumanEval_120_maximum,2,200
HumanEval_121_solution,24,200
HumanEval_122_add_elements,51,200
HumanEval_123_get_odd_collatz,30,200
HumanEval_124_valid_date,3,200
HumanEval_125_split_words,1,200
HumanEval_126_is_sorted,3,200
HumanEval_127_intersection,8,200
HumanEval_128_prod_signs,27,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,196,200
HumanEval_130_tri,10,200
HumanEval_131_digits,21,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,4,200
HumanEval_134_check_if_last_char_is_a_letter,8,200
HumanEval_135_can_arrange,3,200
HumanEval_136_largest_smallest_integers,56,200
HumanEval_137_compare_one,0,200
HumanEval_138_is_equal_to_sum_even,60,200
HumanEval_139_special_factorial,46,200
HumanEval_14_all_prefixes,25,200
HumanEval_140_fix_spaces,0,200
HumanEval_141_file_name_check,0,200
HumanEval_142_sum_squares,30,200
HumanEval_143_words_in_sentence,3,200
HumanEval_144_simplify,4,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,24,200
HumanEval_147_get_max_triples,1,200
HumanEval_148_bf,0,200
HumanEval_149_sorted_list_sum,9,200
HumanEval_15_string_sequence,61,200
HumanEval_150_x_or_y,3,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,151,200
HumanEval_153_Strongest_Extension,6,200
HumanEval_154_cycpattern_check,0,200
HumanEval_155_even_odd_count,8,200
HumanEval_156_int_to_mini_roman,8,200
HumanEval_157_right_angle_triangle,71,200
HumanEval_158_find_max,0,200
HumanEval_159_eat,91,200
HumanEval_16_count_distinct_characters,10,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,11,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,0,200
HumanEval_18_how_many_times,10,200
HumanEval_19_sort_numbers,0,200
HumanEval_2_truncate_number,159,200
HumanEval_20_find_closest_elements,6,200
HumanEval_21_rescale_to_unit,112,200
HumanEval_22_filter_integers,158,200
HumanEval_23_strlen,73,200
HumanEval_24_largest_divisor,126,200
HumanEval_25_factorize,54,200
HumanEval_26_remove_duplicates,5,200
HumanEval_27_flip_case,91,200
HumanEval_28_concatenate,137,200
