problem,pass,total
HumanEval_0_has_close_elements,190,200
HumanEval_1_separate_paren_groups,5,200
HumanEval_10_make_palindrome,17,200
HumanEval_100_make_a_pile,191,200
HumanEval_101_words_string,0,200
HumanEval_102_choose_num,198,200
HumanEval_103_rounded_avg,0,200
HumanEval_104_unique_digits,174,200
HumanEval_105_by_length,53,200
HumanEval_106_f,111,200
HumanEval_107_even_odd_palindrome,106,200
HumanEval_108_count_nums,27,200
HumanEval_109_move_one_ball,72,200
HumanEval_11_string_xor,186,200
HumanEval_110_exchange,95,200
HumanEval_111_histogram,16,200
HumanEval_112_reverse_delete,1,200
HumanEval_113_odd_count,5,200
HumanEval_114_minSubArraySum,99,200
HumanEval_115_max_fill,1,200
HumanEval_116_sort_array,0,200
HumanEval_117_select_words,42,200
HumanEval_118_get_closest_vowel,139,200
HumanEval_119_match_parens,61,200
HumanEval_12_longest,163,200
HumanEval_120_maximum,26,200
HumanEval_121_solution,28,200
HumanEval_122_add_elements,193,200
HumanEval_123_get_odd_collatz,160,200
HumanEval_124_valid_date,11,200
HumanEval_125_split_words,93,200
HumanEval_126_is_sorted,60,200
HumanEval_127_intersection,0,200
HumanEval_128_prod_signs,71,200
HumanEval_129_minPath,0,200
HumanEval_13_greatest_common_divisor,200,200
HumanEval_130_tri,4,200
HumanEval_131_digits,130,200
HumanEval_132_is_nested,0,200
HumanEval_133_sum_squares,8,200
HumanEval_134_check_if_last_char_is_a_letter,11,200
HumanEval_135_can_arrange,136,200
HumanEval_136_largest_smallest_integers,118,200
HumanEval_137_compare_one,80,200
HumanEval_138_is_equal_to_sum_even,187,200
HumanEval_139_special_factorial,67,200
HumanEval_14_all_prefixes,181,200
HumanEval_140_fix_spaces,103,200
HumanEval_141_file_name_check,30,200
HumanEval_142_sum_squares,5,200
HumanEval_143_words_in_sentence,89,200
HumanEval_144_simplify,91,200
HumanEval_145_order_by_points,0,200
HumanEval_146_specialFilter,111,200
HumanEval_147_get_max_triples,33,200
HumanEval_148_bf,175,200
HumanEval_149_sorted_list_sum,0,200
HumanEval_15_string_sequence,200,200
HumanEval_150_x_or_y,108,200
HumanEval_151_double_the_difference,0,200
HumanEval_152_compare,171,200
HumanEval_153_Strongest_Extension,127,200
HumanEval_154_cycpattern_check,3,200
HumanEval_155_even_odd_count,80,200
HumanEval_156_int_to_mini_roman,50,200
HumanEval_157_right_angle_triangle,1,200
HumanEval_158_find_max,143,200
HumanEval_159_eat,176,200
HumanEval_16_count_distinct_characters,198,200
HumanEval_160_do_algebra,0,200
HumanEval_161_solve,19,200
HumanEval_162_string_to_md5,0,200
HumanEval_163_generate_integers,0,200
HumanEval_17_parse_music,194,200
HumanEval_18_how_many_times,89,200
HumanEval_19_sort_numbers,17,200
HumanEval_2_truncate_number,169,200
HumanEval_20_find_closest_elements,9,200
HumanEval_21_rescale_to_unit,122,200
HumanEval_22_filter_integers,186,200
HumanEval_23_strlen,185,200
HumanEval_24_largest_divisor,200,200
HumanEval_25_factorize,171,200
HumanEval_26_remove_duplicates,106,200
HumanEval_27_flip_case,183,200
HumanEval_28_concatenate,199,200
HumanEval_29_filter_by_prefix,88,200
HumanEval_3_below_zero,198,200
HumanEval_30_get_positive,200,200
HumanEval_31_is_prime,200,200
HumanEval_33_sort_third,7,200
