lang,problem,model,experiment,pass@1,pass@10,pass@100
go,HumanEval_119_match_parens,incoder,reworded,0.00,0.00,0.00
java,HumanEval_56_correct_bracketing,davinci,transform,0.98,NA,NA
py,HumanEval_141_file_name_check,incoder,transform,0.00,NA,NA
lua,HumanEval_72_will_it_fly,davinci,reworded,0.92,1.00,1.00
java,HumanEval_145_order_by_points,incoder,keep,0.00,NA,NA
go,HumanEval_75_is_multiply_prime,incoder,reworded,0.00,0.00,0.00
java,HumanEval_74_total_match,incoder,reworded,0.00,0.00,0.00
swift,HumanEval_118_get_closest_vowel,davinci,keep,0.00,NA,NA
lua,HumanEval_76_is_simple_power,davinci,transform,0.60,NA,NA
rkt,HumanEval_1_separate_paren_groups,incoder,reworded,0.00,0.00,0.00
rkt,HumanEval_89_encrypt,incoder,transform,0.00,NA,NA
go,HumanEval_105_by_length,incoder,remove,0.00,NA,NA
pl,HumanEval_60_sum_to_n,incoder,remove,0.98,NA,NA
lua,HumanEval_17_parse_music,incoder,keep,0.00,NA,NA
rkt,HumanEval_22_filter_integers,incoder,keep,0.51,NA,NA
java,HumanEval_97_multiply,incoder,keep,0.00,NA,NA
php,HumanEval_77_iscube,incoder,transform,0.00,NA,NA
js,HumanEval_134_check_if_last_char_is_a_letter,davinci,remove,0.00,NA,NA
rkt,HumanEval_101_words_string,davinci,remove,0.16,NA,NA
cpp,HumanEval_132_is_nested,incoder,reworded,0.00,0.05,0.50
rs,HumanEval_121_solution,davinci,reworded,0.40,1.00,1.00
go,HumanEval_35_max_element,incoder,reworded,1.00,1.00,1.00
ts,HumanEval_47_median,incoder,transform,0.01,NA,NA
rb,HumanEval_49_modp,incoder,transform,0.00,NA,NA
ts,HumanEval_11_string_xor,incoder,remove,0.00,NA,NA
java,HumanEval_120_maximum,davinci,transform,0.00,NA,NA
php,HumanEval_90_next_smallest,incoder,keep,0.00,NA,NA
py,HumanEval_49_modp,incoder,keep,0.00,NA,NA
