lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
rkt,HumanEval_5_intersperse,davinci,0.2,multiline,0.64,200,NA,NA,NA
rkt,HumanEval_128_prod_signs,davinci,0.2,multiline,0.14,200,NA,NA,NA
rkt,HumanEval_9_rolling_max,davinci,0.2,multiline,0.10,200,NA,NA,NA
rkt,HumanEval_161_solve,davinci,0.2,multiline,0.00,200,NA,NA,NA
rkt,HumanEval_8_sum_product,davinci,0.2,multiline,0.96,200,NA,NA,NA
rkt,HumanEval_23_strlen,davinci,0.2,multiline,0.66,200,NA,NA,NA
rkt,HumanEval_64_vowels_count,davinci,0.2,multiline,0.00,200,NA,NA,NA
rkt,HumanEval_94_skjkasdkd,davinci,0.2,multiline,0.26,200,NA,NA,NA
rkt,HumanEval_152_compare,davinci,0.2,multiline,0.97,200,NA,NA,NA
rkt,HumanEval_138_is_equal_to_sum_even,davinci,0.2,multiline,0.21,200,NA,NA,NA
rkt,HumanEval_22_filter_integers,davinci,0.2,multiline,1.00,200,NA,NA,NA
rkt,HumanEval_80_is_happy,davinci,0.2,multiline,0.03,200,NA,NA,NA
rkt,HumanEval_85_add,davinci,0.2,multiline,0.05,200,NA,NA,NA
rkt,HumanEval_117_select_words,davinci,0.2,multiline,0.00,200,NA,NA,NA
rkt,HumanEval_143_words_in_sentence,davinci,0.2,multiline,0.02,200,NA,NA,NA
rkt,HumanEval_107_even_odd_palindrome,davinci,0.2,multiline,0.60,200,NA,NA,NA
rkt,HumanEval_153_Strongest_Extension,davinci,0.2,multiline,0.01,200,NA,NA,NA
rkt,HumanEval_17_parse_music,davinci,0.2,multiline,0.39,200,NA,NA,NA
rkt,HumanEval_123_get_odd_collatz,davinci,0.2,multiline,0.31,200,NA,NA,NA
rkt,HumanEval_56_correct_bracketing,davinci,0.2,multiline,0.00,200,NA,NA,NA
rkt,HumanEval_43_pairs_sum_to_zero,davinci,0.2,multiline,0.01,200,NA,NA,NA
rkt,HumanEval_156_int_to_mini_roman,davinci,0.2,multiline,0.08,200,NA,NA,NA
rkt,HumanEval_21_rescale_to_unit,davinci,0.2,multiline,0.88,200,NA,NA,NA
rkt,HumanEval_121_solution,davinci,0.2,multiline,0.04,200,NA,NA,NA
rkt,HumanEval_95_check_dict_case,davinci,0.2,multiline,0.00,200,NA,NA,NA
rkt,HumanEval_120_maximum,davinci,0.2,multiline,0.01,200,NA,NA,NA
rkt,HumanEval_13_greatest_common_divisor,davinci,0.2,multiline,0.99,200,NA,NA,NA
