lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
pl,HumanEval_11_string_xor,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_26_remove_duplicates,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_51_remove_vowels,davinci,0.2,noargnames,0.24,200,NA,NA,NA
pl,HumanEval_141_file_name_check,davinci,0.2,noargnames,0.07,200,NA,NA,NA
pl,HumanEval_77_iscube,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_135_can_arrange,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_16_count_distinct_characters,davinci,0.2,noargnames,0.95,200,NA,NA,NA
pl,HumanEval_54_same_chars,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_63_fibfib,davinci,0.2,noargnames,0.96,200,NA,NA,NA
pl,HumanEval_61_correct_bracketing,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_29_filter_by_prefix,davinci,0.2,noargnames,0.16,200,NA,NA,NA
pl,HumanEval_64_vowels_count,davinci,0.2,noargnames,0.04,200,NA,NA,NA
pl,HumanEval_21_rescale_to_unit,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_78_hex_key,davinci,0.2,noargnames,0.87,200,NA,NA,NA
pl,HumanEval_6_parse_nested_parens,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_72_will_it_fly,davinci,0.2,noargnames,0.43,200,NA,NA,NA
pl,HumanEval_147_get_max_triples,davinci,0.2,noargnames,0.61,200,NA,NA,NA
pl,HumanEval_156_int_to_mini_roman,davinci,0.2,noargnames,0.34,200,NA,NA,NA
pl,HumanEval_37_sort_even,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_132_is_nested,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_125_split_words,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_90_next_smallest,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_100_make_a_pile,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_92_any_int,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_80_is_happy,davinci,0.2,noargnames,0.47,200,NA,NA,NA
pl,HumanEval_163_generate_integers,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_128_prod_signs,davinci,0.2,noargnames,0.22,200,NA,NA,NA
pl,HumanEval_129_minPath,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_93_encode,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_36_fizz_buzz,davinci,0.2,noargnames,0.85,200,NA,NA,NA
pl,HumanEval_49_modp,davinci,0.2,noargnames,0.28,200,NA,NA,NA
pl,HumanEval_127_intersection,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_87_get_row,davinci,0.2,noargnames,0.66,200,NA,NA,NA
pl,HumanEval_70_strange_sort_list,davinci,0.2,noargnames,0.20,200,NA,NA,NA
pl,HumanEval_25_factorize,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_8_sum_product,davinci,0.2,noargnames,0.92,200,NA,NA,NA
pl,HumanEval_161_solve,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_33_sort_third,davinci,0.2,noargnames,0.36,200,NA,NA,NA
pl,HumanEval_73_smallest_change,davinci,0.2,noargnames,0.65,200,NA,NA,NA
pl,HumanEval_46_fib4,davinci,0.2,noargnames,0.95,200,NA,NA,NA
pl,HumanEval_94_skjkasdkd,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_133_sum_squares,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_88_sort_array,davinci,0.2,noargnames,0.43,200,NA,NA,NA
pl,HumanEval_102_choose_num,davinci,0.2,noargnames,0.85,200,NA,NA,NA
pl,HumanEval_14_all_prefixes,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_130_tri,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_12_longest,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_122_add_elements,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_112_reverse_delete,davinci,0.2,noargnames,0.42,200,NA,NA,NA
pl,HumanEval_69_search,davinci,0.2,noargnames,0.41,200,NA,NA,NA
pl,HumanEval_113_odd_count,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_1_separate_paren_groups,davinci,0.2,noargnames,0.00,200,NA,NA,NA
