lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
php,HumanEval_47_median,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_141_file_name_check,davinci,0.2,multiline,0.04,200,NA,NA,NA
php,HumanEval_71_triangle_area,davinci,0.2,multiline,0.92,200,NA,NA,NA
php,HumanEval_153_Strongest_Extension,davinci,0.2,multiline,0.05,200,NA,NA,NA
php,HumanEval_163_generate_integers,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_117_select_words,davinci,0.2,multiline,0.05,200,NA,NA,NA
php,HumanEval_109_move_one_ball,davinci,0.2,multiline,0.01,200,NA,NA,NA
php,HumanEval_123_get_odd_collatz,davinci,0.2,multiline,0.06,200,NA,NA,NA
php,HumanEval_90_next_smallest,davinci,0.2,multiline,0.32,200,NA,NA,NA
php,HumanEval_138_is_equal_to_sum_even,davinci,0.2,multiline,0.05,200,NA,NA,NA
php,HumanEval_58_common,davinci,0.2,multiline,0.60,200,NA,NA,NA
php,HumanEval_74_total_match,davinci,0.2,multiline,0.22,200,NA,NA,NA
php,HumanEval_131_digits,davinci,0.2,multiline,0.12,200,NA,NA,NA
php,HumanEval_33_sort_third,davinci,0.2,multiline,0.15,200,NA,NA,NA
php,HumanEval_35_max_element,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_76_is_simple_power,davinci,0.2,multiline,0.72,200,NA,NA,NA
php,HumanEval_24_largest_divisor,davinci,0.2,multiline,0.99,200,NA,NA,NA
php,HumanEval_72_will_it_fly,davinci,0.2,multiline,0.82,200,NA,NA,NA
php,HumanEval_37_sort_even,davinci,0.2,multiline,0.31,200,NA,NA,NA
php,HumanEval_20_find_closest_elements,davinci,0.2,multiline,0.18,200,NA,NA,NA
php,HumanEval_81_numerical_letter_grade,davinci,0.2,multiline,0.01,200,NA,NA,NA
php,HumanEval_52_below_threshold,davinci,0.2,multiline,0.79,200,NA,NA,NA
php,HumanEval_91_is_bored,davinci,0.2,multiline,0.18,200,NA,NA,NA
php,HumanEval_142_sum_squares,davinci,0.2,multiline,0.92,200,NA,NA,NA
php,HumanEval_118_get_closest_vowel,davinci,0.2,multiline,0.02,200,NA,NA,NA
php,HumanEval_108_count_nums,davinci,0.2,multiline,0.01,200,NA,NA,NA
php,HumanEval_83_starts_one_ends,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_92_any_int,davinci,0.2,multiline,0.90,200,NA,NA,NA
php,HumanEval_102_choose_num,davinci,0.2,multiline,0.29,200,NA,NA,NA
php,HumanEval_96_count_up_to,davinci,0.2,multiline,0.46,200,NA,NA,NA
php,HumanEval_105_by_length,davinci,0.2,multiline,0.87,200,NA,NA,NA
php,HumanEval_110_exchange,davinci,0.2,multiline,0.22,200,NA,NA,NA
php,HumanEval_139_special_factorial,davinci,0.2,multiline,0.01,200,NA,NA,NA
php,HumanEval_68_pluck,davinci,0.2,multiline,0.99,200,NA,NA,NA
php,HumanEval_8_sum_product,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_70_strange_sort_list,davinci,0.2,multiline,0.17,200,NA,NA,NA
php,HumanEval_135_can_arrange,davinci,0.2,multiline,0.04,200,NA,NA,NA
php,HumanEval_75_is_multiply_prime,davinci,0.2,multiline,0.52,200,NA,NA,NA
php,HumanEval_41_car_race_collision,davinci,0.2,multiline,0.03,200,NA,NA,NA
php,HumanEval_162_string_to_md5,davinci,0.2,multiline,0.98,200,NA,NA,NA
php,HumanEval_15_string_sequence,davinci,0.2,multiline,0.29,200,NA,NA,NA
php,HumanEval_132_is_nested,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_104_unique_digits,davinci,0.2,multiline,0.75,200,NA,NA,NA
php,HumanEval_126_is_sorted,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_43_pairs_sum_to_zero,davinci,0.2,multiline,0.76,200,NA,NA,NA
php,HumanEval_73_smallest_change,davinci,0.2,multiline,0.92,200,NA,NA,NA
php,HumanEval_61_correct_bracketing,davinci,0.2,multiline,0.61,200,NA,NA,NA
php,HumanEval_56_correct_bracketing,davinci,0.2,multiline,0.58,200,NA,NA,NA
php,HumanEval_85_add,davinci,0.2,multiline,0.98,200,NA,NA,NA
php,HumanEval_159_eat,davinci,0.2,multiline,0.38,200,NA,NA,NA
php,HumanEval_129_minPath,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_66_digitSum,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_12_longest,davinci,0.2,multiline,0.88,200,NA,NA,NA
php,HumanEval_125_split_words,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_54_same_chars,davinci,0.2,multiline,0.03,200,NA,NA,NA
php,HumanEval_10_make_palindrome,davinci,0.2,multiline,0.09,200,NA,NA,NA
php,HumanEval_93_encode,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_80_is_happy,davinci,0.2,multiline,0.58,200,NA,NA,NA
php,HumanEval_42_incr_list,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_78_hex_key,davinci,0.2,multiline,0.64,200,NA,NA,NA
php,HumanEval_28_concatenate,davinci,0.2,multiline,0.95,200,NA,NA,NA
php,HumanEval_64_vowels_count,davinci,0.2,multiline,0.05,200,NA,NA,NA
php,HumanEval_134_check_if_last_char_is_a_letter,davinci,0.2,multiline,0.06,200,NA,NA,NA
php,HumanEval_121_solution,davinci,0.2,multiline,0.96,200,NA,NA,NA
php,HumanEval_21_rescale_to_unit,davinci,0.2,multiline,0.99,200,NA,NA,NA
php,HumanEval_63_fibfib,davinci,0.2,multiline,0.98,200,NA,NA,NA
php,HumanEval_152_compare,davinci,0.2,multiline,0.97,200,NA,NA,NA
php,HumanEval_11_string_xor,davinci,0.2,multiline,0.16,200,NA,NA,NA
php,HumanEval_157_right_angle_triangle,davinci,0.2,multiline,0.90,200,NA,NA,NA
php,HumanEval_67_fruit_distribution,davinci,0.2,multiline,0.98,200,NA,NA,NA
php,HumanEval_87_get_row,davinci,0.2,multiline,0.69,200,NA,NA,NA
php,HumanEval_89_encrypt,davinci,0.2,multiline,0.08,200,NA,NA,NA
php,HumanEval_148_bf,davinci,0.2,multiline,0.52,200,NA,NA,NA
php,HumanEval_88_sort_array,davinci,0.2,multiline,0.92,200,NA,NA,NA
php,HumanEval_156_int_to_mini_roman,davinci,0.2,multiline,0.66,200,NA,NA,NA
php,HumanEval_6_parse_nested_parens,davinci,0.2,multiline,0.31,200,NA,NA,NA
php,HumanEval_128_prod_signs,davinci,0.2,multiline,0.89,200,NA,NA,NA
php,HumanEval_14_all_prefixes,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_69_search,davinci,0.2,multiline,0.38,200,NA,NA,NA
php,HumanEval_115_max_fill,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_113_odd_count,davinci,0.2,multiline,0.51,200,NA,NA,NA
php,HumanEval_97_multiply,davinci,0.2,multiline,0.59,200,NA,NA,NA
php,HumanEval_40_triples_sum_to_zero,davinci,0.2,multiline,0.96,200,NA,NA,NA
php,HumanEval_77_iscube,davinci,0.2,multiline,0.56,200,NA,NA,NA
php,HumanEval_136_largest_smallest_integers,davinci,0.2,multiline,0.92,200,NA,NA,NA
php,HumanEval_101_words_string,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_22_filter_integers,davinci,0.2,multiline,0.95,200,NA,NA,NA
php,HumanEval_133_sum_squares,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_147_get_max_triples,davinci,0.2,multiline,0.34,200,NA,NA,NA
php,HumanEval_127_intersection,davinci,0.2,multiline,0.03,200,NA,NA,NA
php,HumanEval_100_make_a_pile,davinci,0.2,multiline,0.19,200,NA,NA,NA
php,HumanEval_158_find_max,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_145_order_by_points,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_130_tri,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_44_change_base,davinci,0.2,multiline,0.91,200,NA,NA,NA
php,HumanEval_46_fib4,davinci,0.2,multiline,0.83,200,NA,NA,NA
php,HumanEval_49_modp,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_114_minSubArraySum,davinci,0.2,multiline,0.43,200,NA,NA,NA
php,HumanEval_48_is_palindrome,davinci,0.2,multiline,0.71,200,NA,NA,NA
php,HumanEval_17_parse_music,davinci,0.2,multiline,0.18,200,NA,NA,NA
php,HumanEval_103_rounded_avg,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_84_solve,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_0_has_close_elements,davinci,0.2,multiline,0.90,200,NA,NA,NA
php,HumanEval_16_count_distinct_characters,davinci,0.2,multiline,0.29,200,NA,NA,NA
php,HumanEval_155_even_odd_count,davinci,0.2,multiline,0.01,200,NA,NA,NA
php,HumanEval_144_simplify,davinci,0.2,multiline,0.10,200,NA,NA,NA
php,HumanEval_27_flip_case,davinci,0.2,multiline,0.97,200,NA,NA,NA
php,HumanEval_151_double_the_difference,davinci,0.2,multiline,0.00,200,NA,NA,NA
php,HumanEval_112_reverse_delete,davinci,0.2,multiline,0.73,200,NA,NA,NA
php,HumanEval_149_sorted_list_sum,davinci,0.2,multiline,0.11,200,NA,NA,NA
php,HumanEval_124_valid_date,davinci,0.2,multiline,0.89,200,NA,NA,NA
php,HumanEval_57_monotonic,davinci,0.2,multiline,0.89,200,NA,NA,NA
php,HumanEval_19_sort_numbers,davinci,0.2,multiline,0.11,200,NA,NA,NA
php,HumanEval_7_filter_by_substring,davinci,0.2,multiline,0.99,200,NA,NA,NA
php,HumanEval_60_sum_to_n,davinci,0.2,multiline,0.96,200,NA,NA,NA
php,HumanEval_13_greatest_common_divisor,davinci,0.2,multiline,1.00,200,NA,NA,NA
php,HumanEval_161_solve,davinci,0.2,multiline,0.04,200,NA,NA,NA
php,HumanEval_79_decimal_to_binary,davinci,0.2,multiline,0.92,200,NA,NA,NA
